date;Islamic State;Australia cricket team;Modest Mouse;Sports rights;air travel;isPartial
2022-01-02;0;5;2;4;90;False
2022-01-09;2;3;5;5;98;False
2022-01-16;2;6;2;4;77;False
2022-01-23;6;3;3;5;84;False
2022-01-30;9;2;2;5;95;False
2022-02-06;5;3;2;4;96;False
2022-02-13;2;2;3;4;96;False
2022-02-20;4;3;7;4;98;False
2022-02-27;6;3;5;3;86;False
2022-03-06;6;2;4;4;90;False
2022-03-13;4;3;5;5;90;False
2022-03-20;4;2;4;5;88;False
2022-03-27;5;3;3;2;93;False
2022-04-03;4;3;3;3;85;False
2022-04-10;4;2;4;3;74;False
2022-04-17;1;1;3;5;82;False
2022-04-24;5;0;2;4;84;False
2022-05-01;3;0;4;3;87;False
2022-05-08;5;0;4;4;89;False
2022-05-15;3;2;3;6;93;False
2022-05-22;3;0;4;7;88;False
2022-05-29;4;3;3;3;90;False
2022-06-05;4;4;3;4;100;False
2022-06-12;1;3;4;6;87;False
2022-06-19;1;2;3;4;81;False
2022-06-26;4;4;2;5;87;False
2022-07-03;1;1;7;3;92;False
2022-07-10;3;2;8;6;95;False
2022-07-17;3;2;23;7;91;False
2022-07-24;2;2;7;5;90;False
2022-07-31;3;2;2;5;81;False
2022-08-07;3;5;2;4;78;False
2022-08-14;4;2;1;3;77;False
2022-08-21;4;1;0;2;67;False
2022-08-28;5;3;3;4;74;False
2022-09-04;3;3;3;4;80;False
2022-09-11;5;4;2;3;69;False
2022-09-18;5;3;3;4;66;False
2022-09-25;5;3;3;3;68;False
2022-10-02;2;5;2;3;65;False
2022-10-09;1;4;2;6;63;False
2022-10-16;3;5;2;5;57;False
2022-10-23;6;5;3;6;53;False
2022-10-30;3;6;2;4;53;False
2022-11-06;2;3;4;3;59;False
2022-11-13;3;6;4;3;50;False
2022-11-20;7;3;1;2;62;False
2022-11-27;7;4;2;2;61;False
2022-12-04;3;5;0;3;52;False
2022-12-11;3;2;2;1;53;False
2022-12-18;3;4;3;5;50;False
2022-12-25;4;5;4;6;66;False
2023-01-01;4;5;83;4;77;False
2023-01-08;7;2;2;3;71;False
2023-01-15;4;2;2;5;69;False
2023-01-22;8;1;2;5;64;False
2023-01-29;3;1;3;1;69;False
