date;Banking reform;Richard Branson;oxfordshire;Gene editing;air travel;isPartial
2022-01-02;1;10;95;1;26;False
2022-01-09;0;9;90;1;28;False
2022-01-16;0;7;89;1;22;False
2022-01-23;0;8;86;1;24;False
2022-01-30;0;7;92;2;27;False
2022-02-06;0;7;89;0;27;False
2022-02-13;0;6;95;1;27;False
2022-02-20;0;6;90;0;28;False
2022-02-27;0;7;79;1;25;False
2022-03-06;0;5;79;1;26;False
2022-03-13;0;7;87;2;26;False
2022-03-20;0;7;88;2;25;False
2022-03-27;0;10;80;1;27;False
2022-04-03;0;7;88;1;24;False
2022-04-10;1;8;82;1;21;False
2022-04-17;0;9;80;1;24;False
2022-04-24;0;9;83;1;24;False
2022-05-01;0;9;93;2;25;False
2022-05-08;0;7;85;2;26;False
2022-05-15;0;8;86;1;27;False
2022-05-22;0;6;84;2;25;False
2022-05-29;0;6;87;1;26;False
2022-06-05;0;7;90;1;29;False
2022-06-12;0;7;80;2;25;False
2022-06-19;0;6;88;1;23;False
2022-06-26;0;12;86;2;25;False
2022-07-03;0;8;85;1;26;False
2022-07-10;0;7;89;1;27;False
2022-07-17;0;8;86;1;26;False
2022-07-24;0;7;89;1;26;False
2022-07-31;0;8;87;0;23;False
2022-08-07;0;6;100;1;22;False
2022-08-14;0;7;83;1;22;False
2022-08-21;0;7;88;1;19;False
2022-08-28;0;5;89;1;21;False
2022-09-04;0;6;80;1;23;False
2022-09-11;0;5;85;2;20;False
2022-09-18;0;6;80;2;19;False
2022-09-25;0;7;81;2;20;False
2022-10-02;0;9;83;2;19;False
2022-10-09;1;7;77;2;18;False
2022-10-16;0;8;79;1;16;False
2022-10-23;0;8;77;2;15;False
2022-10-30;0;13;77;2;15;False
2022-11-06;0;7;78;1;17;False
2022-11-13;0;5;71;1;14;False
2022-11-20;0;5;65;1;18;False
2022-11-27;0;5;72;1;17;False
2022-12-04;0;11;83;2;15;False
2022-12-11;0;25;78;2;15;False
2022-12-18;0;14;66;1;14;False
2022-12-25;0;13;76;1;19;False
2023-01-01;0;10;90;2;22;False
2023-01-08;0;23;84;2;20;False
2023-01-15;0;9;82;1;20;False
2023-01-22;0;9;81;1;18;False
2023-01-29;0;11;87;2;20;False
