date;Film production and photography;Industrial policy;Oman;North Carolina;air travel;isPartial
2022-01-02;0;2;74;35;44;False
2022-01-09;0;1;67;37;51;False
2022-01-16;0;0;63;31;38;False
2022-01-23;0;1;64;31;42;False
2022-01-30;0;1;75;39;47;False
2022-02-06;0;1;75;29;47;False
2022-02-13;0;1;79;30;48;False
2022-02-20;0;2;70;26;48;False
2022-02-27;0;1;58;27;42;False
2022-03-06;0;1;58;27;45;False
2022-03-13;0;1;94;33;44;False
2022-03-20;0;1;66;36;43;False
2022-03-27;0;1;67;33;46;False
2022-04-03;0;1;57;37;42;False
2022-04-10;0;0;55;29;36;False
2022-04-17;0;1;51;31;40;False
2022-04-24;0;1;52;29;42;False
2022-05-01;0;1;55;37;43;False
2022-05-08;0;1;52;32;44;False
2022-05-15;0;1;66;29;46;False
2022-05-22;0;1;51;36;43;False
2022-05-29;0;2;54;35;44;False
2022-06-05;0;1;64;33;49;False
2022-06-12;0;0;57;33;43;False
2022-06-19;0;1;53;36;40;False
2022-06-26;0;0;54;33;43;False
2022-07-03;0;1;52;35;45;False
2022-07-10;0;1;58;38;47;False
2022-07-17;0;0;57;39;45;False
2022-07-24;0;1;64;45;44;False
2022-07-31;0;0;61;36;40;False
2022-08-07;0;1;58;36;39;False
2022-08-14;0;0;53;35;38;False
2022-08-21;0;1;57;32;33;False
2022-08-28;0;0;59;34;36;False
2022-09-04;0;1;56;30;39;False
2022-09-11;0;0;68;33;34;False
2022-09-18;0;2;62;33;33;False
2022-09-25;0;0;64;39;34;False
2022-10-02;0;1;63;32;32;False
2022-10-09;0;1;64;35;32;False
2022-10-16;0;1;60;30;28;False
2022-10-23;0;1;61;32;26;False
2022-10-30;0;1;64;34;26;False
2022-11-06;0;1;66;36;29;False
2022-11-13;0;1;100;28;25;False
2022-11-20;0;1;69;26;31;False
2022-11-27;0;2;68;31;30;False
2022-12-04;0;1;70;29;26;False
2022-12-11;0;0;59;29;26;False
2022-12-18;0;1;62;37;25;False
2022-12-25;0;1;65;37;32;False
2023-01-01;0;1;76;36;38;False
2023-01-08;0;1;73;31;35;False
2023-01-15;0;1;99;30;34;False
2023-01-22;0;1;69;31;31;False
2023-01-29;0;1;68;28;34;False
