date;Michelle Donelan;Radio 4;Tea;Yoko Ono;air travel;isPartial
2022-01-02;0;10;76;1;2;False
2022-01-09;0;10;79;1;2;False
2022-01-16;0;9;75;1;2;False
2022-01-23;0;10;76;0;2;False
2022-01-30;0;10;84;0;2;False
2022-02-06;0;9;77;0;2;False
2022-02-13;0;8;68;1;2;False
2022-02-20;0;10;80;1;2;False
2022-02-27;0;10;78;0;2;False
2022-03-06;0;9;80;0;2;False
2022-03-13;0;9;87;0;2;False
2022-03-20;0;9;87;1;2;False
2022-03-27;0;8;70;0;2;False
2022-04-03;0;8;74;0;2;False
2022-04-10;0;8;72;0;1;False
2022-04-17;0;8;63;0;2;False
2022-04-24;0;8;65;0;2;False
2022-05-01;0;8;73;0;2;False
2022-05-08;0;8;70;0;2;False
2022-05-15;0;9;70;0;2;False
2022-05-22;0;9;72;0;2;False
2022-05-29;0;8;82;0;2;False
2022-06-05;0;8;69;0;2;False
2022-06-12;0;8;77;0;2;False
2022-06-19;0;9;66;1;2;False
2022-06-26;0;8;69;1;2;False
2022-07-03;5;10;70;0;2;False
2022-07-10;0;9;69;0;2;False
2022-07-17;0;9;63;0;2;False
2022-07-24;0;9;71;0;2;False
2022-07-31;0;8;70;0;2;False
2022-08-07;0;8;70;0;2;False
2022-08-14;0;8;63;0;2;False
2022-08-21;0;8;71;0;1;False
2022-08-28;0;8;69;0;1;False
2022-09-04;2;10;66;0;2;False
2022-09-11;0;8;67;0;1;False
2022-09-18;1;9;69;0;1;False
2022-09-25;0;9;68;0;1;False
2022-10-02;0;9;70;0;1;False
2022-10-09;0;11;73;0;1;False
2022-10-16;0;11;67;0;1;False
2022-10-23;1;9;62;1;1;False
2022-10-30;0;10;62;0;1;False
2022-11-06;0;9;64;0;1;False
2022-11-13;0;9;71;0;1;False
2022-11-20;0;8;64;0;1;False
2022-11-27;0;8;74;0;1;False
2022-12-04;0;8;72;0;1;False
2022-12-11;0;8;76;0;1;False
2022-12-18;0;10;73;1;1;False
2022-12-25;0;9;69;1;1;False
2023-01-01;0;9;73;1;2;False
2023-01-08;0;9;75;0;1;False
2023-01-15;0;9;74;1;1;False
2023-01-22;0;9;76;0;1;False
2023-01-29;0;9;100;0;1;False
