date;north yorkshire;Barbara Hepworth;Journalism books;Pride;air travel;isPartial
2022-01-02;14;0;0;15;3;False
2022-01-09;12;0;0;14;4;False
2022-01-16;11;0;0;13;3;False
2022-01-23;11;0;0;16;3;False
2022-01-30;12;0;0;18;4;False
2022-02-06;11;1;0;16;4;False
2022-02-13;11;0;0;16;4;False
2022-02-20;10;0;0;15;4;False
2022-02-27;10;0;0;14;3;False
2022-03-06;10;0;0;19;3;False
2022-03-13;10;0;0;15;3;False
2022-03-20;11;0;0;16;3;False
2022-03-27;10;0;0;17;4;False
2022-04-03;11;1;0;16;3;False
2022-04-10;11;1;0;17;3;False
2022-04-17;10;1;0;22;3;False
2022-04-24;11;0;0;20;3;False
2022-05-01;13;0;0;22;3;False
2022-05-08;10;0;0;24;3;False
2022-05-15;11;0;0;30;4;False
2022-05-22;11;0;0;34;3;False
2022-05-29;11;0;0;71;3;False
2022-06-05;11;0;0;67;4;False
2022-06-12;11;0;0;59;3;False
2022-06-19;12;0;0;59;3;False
2022-06-26;11;0;0;100;3;False
2022-07-03;12;0;0;58;3;False
2022-07-10;12;0;0;37;4;False
2022-07-17;12;0;0;39;3;False
2022-07-24;13;0;0;45;3;False
2022-07-31;13;0;0;63;3;False
2022-08-07;13;0;0;39;3;False
2022-08-14;12;0;0;27;3;False
2022-08-21;12;1;0;43;3;False
2022-08-28;12;0;0;29;3;False
2022-09-04;10;0;0;17;3;False
2022-09-11;11;0;0;16;3;False
2022-09-18;10;1;0;19;2;False
2022-09-25;10;0;0;16;3;False
2022-10-02;10;0;0;14;2;False
2022-10-09;10;0;0;13;2;False
2022-10-16;10;0;0;14;2;False
2022-10-23;10;0;0;32;2;False
2022-10-30;9;0;0;14;2;False
2022-11-06;9;0;0;14;2;False
2022-11-13;9;0;0;14;2;False
2022-11-20;8;0;0;13;2;False
2022-11-27;8;0;0;13;2;False
2022-12-04;9;0;0;12;2;False
2022-12-11;9;0;0;13;2;False
2022-12-18;8;0;0;12;2;False
2022-12-25;9;0;0;13;2;False
2023-01-01;10;0;0;16;3;False
2023-01-08;10;0;0;14;3;False
2023-01-15;11;0;0;16;3;False
2023-01-22;10;0;0;15;2;False
2023-01-29;11;0;0;17;3;False
