date;gary lineker;Pope Francis;Glasgow School of Art;Banksy;air travel;isPartial
2023-01-01;5;35;2;20;8;False
2023-01-02;7;19;0;30;9;False
2023-01-03;4;10;1;13;6;False
2023-01-04;2;18;1;12;9;False
2023-01-05;3;28;1;13;7;False
2023-01-06;5;11;0;10;8;False
2023-01-07;6;5;1;10;5;False
2023-01-08;12;4;1;12;9;False
2023-01-09;4;4;0;12;5;False
2023-01-10;2;3;1;9;8;False
2023-01-11;3;4;0;9;9;False
2023-01-12;3;2;2;10;8;False
2023-01-13;5;3;1;7;6;False
2023-01-14;7;2;1;10;6;False
2023-01-15;5;2;0;9;7;False
2023-01-16;2;2;2;8;7;False
2023-01-17;54;3;1;6;6;False
2023-01-18;100;3;1;7;8;False
2023-01-19;35;3;0;8;7;False
2023-01-20;15;2;0;9;6;False
2023-01-21;14;2;1;10;6;False
2023-01-22;10;3;1;9;7;False
2023-01-23;4;1;2;9;7;False
2023-01-24;2;1;2;9;6;False
2023-01-25;2;5;1;8;8;False
2023-01-26;2;13;1;15;7;False
2023-01-27;3;4;1;8;5;False
2023-01-28;10;3;0;9;7;False
2023-01-29;11;3;1;10;6;False
2023-01-30;4;2;1;8;10;False
2023-01-31;3;4;1;7;9;False
