date;Taika Waititi;Women in politics;Bob Woodward;New Statesman;air travel;isPartial
2022-01-02;13;2;0;8;42;False
2022-01-09;14;1;3;10;48;False
2022-01-16;11;1;0;12;36;False
2022-01-23;11;1;0;12;39;False
2022-01-30;11;1;1;11;45;False
2022-02-06;11;2;0;10;44;False
2022-02-13;18;1;1;11;45;False
2022-02-20;13;0;0;13;46;False
2022-02-27;9;1;0;13;40;False
2022-03-06;12;2;0;11;42;False
2022-03-13;13;2;1;10;42;False
2022-03-20;14;1;0;11;41;False
2022-03-27;29;1;0;10;43;False
2022-04-03;19;1;2;9;40;False
2022-04-10;18;0;2;8;34;False
2022-04-17;28;0;1;9;38;False
2022-04-24;23;1;0;12;39;False
2022-05-01;17;2;1;15;40;False
2022-05-08;15;1;1;9;42;False
2022-05-15;14;1;1;9;43;False
2022-05-22;19;1;0;9;41;False
2022-05-29;24;0;0;9;42;False
2022-06-05;22;1;0;9;46;False
2022-06-12;54;0;1;10;42;False
2022-06-19;28;0;1;9;38;False
2022-06-26;30;2;1;11;40;False
2022-07-03;56;2;1;15;43;False
2022-07-10;61;0;0;13;44;False
2022-07-17;30;0;0;12;42;False
2022-07-24;32;1;0;8;42;False
2022-07-31;20;0;1;12;37;False
2022-08-07;100;0;1;10;36;False
2022-08-14;18;1;0;8;36;False
2022-08-21;14;0;0;9;31;False
2022-08-28;16;0;1;12;34;False
2022-09-04;21;0;1;12;37;False
2022-09-11;21;1;0;9;32;False
2022-09-18;16;1;1;11;32;False
2022-09-25;12;2;0;11;32;False
2022-10-02;14;1;0;13;30;False
2022-10-09;9;0;0;12;30;False
2022-10-16;9;1;0;14;27;False
2022-10-23;11;1;2;10;25;False
2022-10-30;24;1;0;11;25;False
2022-11-06;31;1;0;7;28;False
2022-11-13;29;1;0;9;23;False
2022-11-20;14;2;0;7;29;False
2022-11-27;72;2;0;10;28;False
2022-12-04;35;1;0;8;24;False
2022-12-11;19;1;0;6;25;False
2022-12-18;19;0;0;8;23;False
2022-12-25;21;0;0;7;31;False
2023-01-01;35;0;0;7;36;False
2023-01-08;25;2;0;8;33;False
2023-01-15;18;1;0;9;32;False
2023-01-22;52;1;0;8;30;False
2023-01-29;45;0;1;10;32;False
