date;EDF Energy;Newport;Jesse Armstrong;ireland;air travel;isPartial
2022-01-02;3;18;0;64;1;False
2022-01-09;3;18;0;59;2;False
2022-01-16;3;17;0;60;1;False
2022-01-23;3;19;0;60;1;False
2022-01-30;4;19;0;91;2;False
2022-02-06;3;19;0;79;2;False
2022-02-13;3;20;0;63;2;False
2022-02-20;3;20;0;68;2;False
2022-02-27;4;19;0;65;1;False
2022-03-06;4;19;0;100;1;False
2022-03-13;3;21;0;79;1;False
2022-03-20;3;18;0;68;1;False
2022-03-27;11;18;0;65;2;False
2022-04-03;4;18;0;56;1;False
2022-04-10;2;21;0;62;1;False
2022-04-17;2;19;0;57;1;False
2022-04-24;2;18;0;57;1;False
2022-05-01;2;21;0;82;1;False
2022-05-08;2;18;0;63;1;False
2022-05-15;2;20;0;62;2;False
2022-05-22;2;20;0;58;1;False
2022-05-29;2;21;0;59;1;False
2022-06-05;2;20;0;71;2;False
2022-06-12;2;20;0;63;1;False
2022-06-19;3;21;0;56;1;False
2022-06-26;3;21;0;69;1;False
2022-07-03;3;21;0;61;2;False
2022-07-10;3;23;0;88;2;False
2022-07-17;3;21;0;65;1;False
2022-07-24;3;21;0;63;1;False
2022-07-31;3;21;0;65;1;False
2022-08-07;4;22;0;59;1;False
2022-08-14;3;20;0;54;1;False
2022-08-21;5;21;0;57;1;False
2022-08-28;4;21;0;52;1;False
2022-09-04;4;19;0;58;1;False
2022-09-11;3;19;0;63;1;False
2022-09-18;3;19;0;71;1;False
2022-09-25;6;20;0;59;1;False
2022-10-02;5;21;0;54;1;False
2022-10-09;4;18;0;58;1;False
2022-10-16;4;19;0;58;1;False
2022-10-23;3;21;0;55;1;False
2022-10-30;4;18;0;62;1;False
2022-11-06;3;21;0;55;1;False
2022-11-13;3;18;0;56;1;False
2022-11-20;3;16;0;51;1;False
2022-11-27;3;18;0;46;1;False
2022-12-04;3;17;0;47;1;False
2022-12-11;4;17;0;45;1;False
2022-12-18;3;18;0;44;1;False
2022-12-25;2;19;0;46;1;False
2023-01-01;3;20;0;54;1;False
2023-01-08;3;19;0;54;1;False
2023-01-15;3;18;0;58;1;False
2023-01-22;4;18;0;57;1;False
2023-01-29;3;20;0;81;1;False
