date;mafia;Mark Gatiss;energy price cap;Pablo Picasso;air travel;isPartial
2023-01-01;44;5;5;5;13;False
2023-01-02;60;3;6;2;15;False
2023-01-03;40;4;9;5;10;False
2023-01-04;39;3;8;2;15;False
2023-01-05;36;1;5;2;12;False
2023-01-06;37;4;8;5;12;False
2023-01-07;45;2;3;1;9;False
2023-01-08;44;1;3;3;14;False
2023-01-09;36;2;8;5;8;False
2023-01-10;33;1;4;5;13;False
2023-01-11;29;0;5;6;15;False
2023-01-12;35;2;7;2;13;False
2023-01-13;41;3;1;3;10;False
2023-01-14;37;0;6;2;9;False
2023-01-15;43;0;6;0;11;False
2023-01-16;100;4;5;3;12;False
2023-01-17;55;1;6;2;9;False
2023-01-18;38;2;4;5;14;False
2023-01-19;37;3;6;5;12;False
2023-01-20;34;2;4;3;10;False
2023-01-21;45;2;3;1;11;False
2023-01-22;47;25;5;3;12;False
2023-01-23;37;4;9;5;12;False
2023-01-24;35;1;4;0;9;False
2023-01-25;31;1;3;3;13;False
2023-01-26;32;1;2;4;11;False
2023-01-27;30;0;5;4;8;False
2023-01-28;28;5;2;5;11;False
2023-01-29;37;6;3;3;10;False
2023-01-30;33;4;4;3;17;False
2023-01-31;35;2;5;4;14;False
