date;Ed Sheeran;Radio;Willie Nelson;Southampton;air travel;isPartial
2022-01-02;7;80;0;41;1;False
2022-01-09;6;79;1;43;2;False
2022-01-16;6;81;0;40;1;False
2022-01-23;6;81;0;40;1;False
2022-01-30;6;89;0;42;1;False
2022-02-06;14;83;0;50;1;False
2022-02-13;7;80;0;45;1;False
2022-02-20;8;81;0;46;2;False
2022-02-27;6;82;0;52;1;False
2022-03-06;10;84;0;47;1;False
2022-03-13;7;88;0;40;1;False
2022-03-20;7;85;0;40;1;False
2022-03-27;11;82;0;39;1;False
2022-04-03;9;81;0;44;1;False
2022-04-10;7;89;0;47;1;False
2022-04-17;6;83;0;41;1;False
2022-04-24;9;82;1;42;1;False
2022-05-01;8;84;0;43;1;False
2022-05-08;11;80;0;39;1;False
2022-05-15;12;87;0;59;1;False
2022-05-22;20;88;0;40;1;False
2022-05-29;20;81;0;44;1;False
2022-06-05;27;79;0;41;2;False
2022-06-12;20;85;0;40;1;False
2022-06-19;18;80;0;42;1;False
2022-06-26;22;82;0;43;1;False
2022-07-03;6;87;0;43;1;False
2022-07-10;6;88;0;49;1;False
2022-07-17;6;77;0;48;1;False
2022-07-24;5;89;0;45;1;False
2022-07-31;4;86;0;48;1;False
2022-08-07;4;90;1;52;1;False
2022-08-14;4;77;0;45;1;False
2022-08-21;5;87;0;70;1;False
2022-08-28;5;88;0;62;1;False
2022-09-04;4;89;0;41;1;False
2022-09-11;4;82;0;46;1;False
2022-09-18;4;70;0;40;1;False
2022-09-25;5;87;1;42;1;False
2022-10-02;5;86;0;50;1;False
2022-10-09;4;88;0;41;1;False
2022-10-16;4;86;0;46;1;False
2022-10-23;6;83;0;54;1;False
2022-10-30;4;88;0;38;1;False
2022-11-06;4;88;0;61;1;False
2022-11-13;4;100;0;36;1;False
2022-11-20;3;73;0;32;1;False
2022-11-27;4;81;0;32;1;False
2022-12-04;4;80;0;32;1;False
2022-12-11;4;83;0;33;1;False
2022-12-18;4;92;0;34;1;False
2022-12-25;5;72;0;42;1;False
2023-01-01;4;79;0;50;1;False
2023-01-08;3;77;0;61;1;False
2023-01-15;5;89;0;46;1;False
2023-01-22;4;84;0;56;1;False
2023-01-29;3;85;0;55;1;False
