date;Paraguay;Linguistics;Pasta;G7;air travel;isPartial
2023-01-01;1;0;72;2;3;False
2023-01-02;1;0;100;2;4;False
2023-01-03;1;1;92;3;2;False
2023-01-04;1;2;94;2;4;False
2023-01-05;1;2;88;3;3;False
2023-01-06;1;1;81;3;3;False
2023-01-07;1;1;85;2;2;False
2023-01-08;0;1;93;4;3;False
2023-01-09;1;1;93;4;2;False
2023-01-10;1;1;92;3;3;False
2023-01-11;1;1;82;4;4;False
2023-01-12;2;1;86;4;3;False
2023-01-13;0;1;73;2;2;False
2023-01-14;1;1;86;3;2;False
2023-01-15;1;2;88;2;3;False
2023-01-16;0;1;88;3;3;False
2023-01-17;1;1;86;3;2;False
2023-01-18;1;2;85;3;3;False
2023-01-19;1;1;85;3;3;False
2023-01-20;1;1;75;2;2;False
2023-01-21;0;1;87;3;3;False
2023-01-22;1;1;89;3;3;False
2023-01-23;0;1;93;3;3;False
2023-01-24;1;2;91;2;2;False
2023-01-25;1;1;88;3;3;False
2023-01-26;1;2;81;3;3;False
2023-01-27;2;1;87;3;2;False
2023-01-28;1;1;80;2;3;False
2023-01-29;1;1;89;2;2;False
2023-01-30;2;1;94;3;4;False
2023-01-31;1;1;90;5;3;False
