date;Isle of Man;Bette Midler;plymouth;Barbican;air travel;isPartial
2022-01-02;7;1;76;7;3;False
2022-01-09;7;0;72;7;4;False
2022-01-16;8;1;72;7;3;False
2022-01-23;8;1;68;7;3;False
2022-01-30;8;1;100;7;3;False
2022-02-06;8;1;72;7;3;False
2022-02-13;8;2;78;7;3;False
2022-02-20;8;0;83;8;4;False
2022-02-27;7;0;70;9;3;False
2022-03-06;8;1;78;9;3;False
2022-03-13;8;1;75;8;3;False
2022-03-20;8;0;78;8;3;False
2022-03-27;8;1;70;8;3;False
2022-04-03;8;1;76;8;3;False
2022-04-10;9;1;80;8;3;False
2022-04-17;9;0;79;7;3;False
2022-04-24;9;1;76;8;3;False
2022-05-01;10;1;79;9;3;False
2022-05-08;10;1;74;7;3;False
2022-05-15;11;1;75;9;3;False
2022-05-22;14;0;73;9;3;False
2022-05-29;33;0;82;9;3;False
2022-06-05;51;1;81;9;4;False
2022-06-12;16;1;76;7;3;False
2022-06-19;11;1;83;8;3;False
2022-06-26;10;2;82;8;3;False
2022-07-03;9;4;73;8;3;False
2022-07-10;9;1;82;7;3;False
2022-07-17;10;1;76;8;3;False
2022-07-24;11;1;84;9;3;False
2022-07-31;11;1;80;8;3;False
2022-08-07;10;1;91;7;3;False
2022-08-14;9;1;96;7;3;False
2022-08-21;10;0;87;8;2;False
2022-08-28;9;1;87;8;3;False
2022-09-04;7;1;79;7;3;False
2022-09-11;8;1;85;7;3;False
2022-09-18;7;1;83;8;2;False
2022-09-25;8;7;83;8;2;False
2022-10-02;8;6;81;8;2;False
2022-10-09;7;3;75;9;2;False
2022-10-16;7;2;76;10;2;False
2022-10-23;7;2;82;10;2;False
2022-10-30;7;2;96;10;2;False
2022-11-06;7;1;72;9;2;False
2022-11-13;5;1;73;11;2;False
2022-11-20;5;1;67;8;2;False
2022-11-27;5;1;65;8;2;False
2022-12-04;5;1;64;7;2;False
2022-12-11;6;0;67;7;2;False
2022-12-18;6;1;68;7;2;False
2022-12-25;6;1;74;7;2;False
2023-01-01;7;0;79;7;3;False
2023-01-08;7;0;78;9;3;False
2023-01-15;7;0;78;9;2;False
2023-01-22;8;1;74;8;2;False
2023-01-29;7;1;78;8;2;False
