date;Liverpool FC Women;Netball;Classical music;devon;air travel;isPartial
2022-01-02;0;8;3;69;4;False
2022-01-09;0;13;3;71;4;False
2022-01-16;0;20;3;67;3;False
2022-01-23;0;13;3;63;4;False
2022-01-30;0;14;3;69;4;False
2022-02-06;0;13;3;62;4;False
2022-02-13;0;10;3;74;4;False
2022-02-20;0;11;3;70;4;False
2022-02-27;0;11;3;62;4;False
2022-03-06;0;12;3;63;4;False
2022-03-13;0;12;3;67;4;False
2022-03-20;0;12;3;74;4;False
2022-03-27;0;10;3;68;4;False
2022-04-03;0;9;3;73;4;False
2022-04-10;0;8;3;74;3;False
2022-04-17;0;8;3;79;4;False
2022-04-24;0;10;3;66;4;False
2022-05-01;0;10;3;80;4;False
2022-05-08;0;10;3;77;4;False
2022-05-15;0;10;3;72;4;False
2022-05-22;0;8;3;76;4;False
2022-05-29;0;7;3;84;4;False
2022-06-05;0;9;3;85;4;False
2022-06-12;0;8;3;84;4;False
2022-06-19;0;9;3;83;3;False
2022-06-26;0;7;3;83;4;False
2022-07-03;0;7;3;81;4;False
2022-07-10;0;7;3;87;4;False
2022-07-17;0;7;2;89;4;False
2022-07-24;0;18;2;92;4;False
2022-07-31;0;53;2;87;3;False
2022-08-07;0;20;2;100;3;False
2022-08-14;0;7;2;94;3;False
2022-08-21;0;8;3;88;3;False
2022-08-28;0;9;2;80;3;False
2022-09-04;0;11;3;73;3;False
2022-09-11;0;12;3;69;3;False
2022-09-18;0;12;3;63;3;False
2022-09-25;0;13;3;64;3;False
2022-10-02;0;14;3;63;3;False
2022-10-09;0;13;3;61;3;False
2022-10-16;0;12;3;63;2;False
2022-10-23;0;10;3;62;2;False
2022-10-30;0;12;4;58;2;False
2022-11-06;0;11;3;57;3;False
2022-11-13;0;11;3;51;2;False
2022-11-20;0;9;3;50;3;False
2022-11-27;0;10;3;50;3;False
2022-12-04;0;9;3;48;2;False
2022-12-11;0;7;3;52;2;False
2022-12-18;0;4;3;49;2;False
2022-12-25;0;4;3;58;3;False
2023-01-01;0;8;3;68;3;False
2023-01-08;0;15;3;65;3;False
2023-01-15;0;15;3;65;3;False
2023-01-22;0;13;3;62;3;False
2023-01-29;0;12;4;61;3;False
