date;Main course;Bayern Munich;cate blanchett;Daily Mirror;air travel;isPartial
2022-01-02;1;15;11;100;8;False
2022-01-09;1;9;17;93;9;False
2022-01-16;1;6;11;95;7;False
2022-01-23;1;9;5;89;7;False
2022-01-30;1;8;4;96;8;False
2022-02-06;1;12;4;87;8;False
2022-02-13;1;21;3;83;8;False
2022-02-20;1;13;3;96;9;False
2022-02-27;1;9;3;92;8;False
2022-03-06;2;23;4;91;8;False
2022-03-13;1;13;4;92;8;False
2022-03-20;1;8;3;91;8;False
2022-03-27;2;9;3;82;8;False
2022-04-03;1;28;2;81;7;False
2022-04-10;1;32;2;90;6;False
2022-04-17;1;15;3;81;7;False
2022-04-24;1;10;2;77;7;False
2022-05-01;1;9;3;86;8;False
2022-05-08;1;11;2;88;8;False
2022-05-15;1;7;2;81;8;False
2022-05-22;1;8;2;87;8;False
2022-05-29;1;9;3;85;8;False
2022-06-05;1;8;3;87;9;False
2022-06-12;1;7;2;80;8;False
2022-06-19;1;10;2;77;7;False
2022-06-26;1;6;2;79;8;False
2022-07-03;1;8;2;95;8;False
2022-07-10;1;9;3;86;8;False
2022-07-17;1;22;2;86;8;False
2022-07-24;1;20;2;83;8;False
2022-07-31;1;21;2;87;7;False
2022-08-07;1;9;2;85;7;False
2022-08-14;1;10;2;73;7;False
2022-08-21;1;19;2;81;6;False
2022-08-28;1;13;4;79;7;False
2022-09-04;1;20;3;93;7;False
2022-09-11;1;27;3;95;6;False
2022-09-18;1;9;3;87;6;False
2022-09-25;1;12;2;79;6;False
2022-10-02;1;18;2;77;6;False
2022-10-09;1;12;2;78;6;False
2022-10-16;1;13;3;81;5;False
2022-10-23;1;17;4;75;5;False
2022-10-30;1;12;3;66;5;False
2022-11-06;1;12;3;77;5;False
2022-11-13;1;6;2;70;4;False
2022-11-20;1;6;3;70;6;False
2022-11-27;1;6;3;72;5;False
2022-12-04;2;5;3;79;5;False
2022-12-11;2;5;9;82;5;False
2022-12-18;1;5;5;89;4;False
2022-12-25;1;17;4;83;6;False
2023-01-01;1;7;5;79;7;False
2023-01-08;2;7;18;82;6;False
2023-01-15;1;11;12;82;6;False
2023-01-22;1;13;7;76;6;False
2023-01-29;1;19;4;83;6;False
