date;The Bible;China;Money;Hip-hop;air travel;isPartial
2022-01-02;6;26;84;0;1;False
2022-01-09;7;27;86;0;1;False
2022-01-16;6;23;80;0;1;False
2022-01-23;6;26;88;0;1;False
2022-01-30;6;28;91;0;1;False
2022-02-06;6;27;75;0;1;False
2022-02-13;6;25;80;0;1;False
2022-02-20;6;51;79;0;1;False
2022-02-27;6;40;76;0;1;False
2022-03-06;6;33;84;0;1;False
2022-03-13;6;40;87;0;1;False
2022-03-20;6;41;80;0;1;False
2022-03-27;5;27;81;0;1;False
2022-04-03;6;25;81;0;1;False
2022-04-10;6;27;80;0;1;False
2022-04-17;6;26;76;0;1;False
2022-04-24;6;23;82;0;1;False
2022-05-01;6;25;87;0;1;False
2022-05-08;7;31;85;0;1;False
2022-05-15;7;24;86;0;1;False
2022-05-22;6;23;86;0;1;False
2022-05-29;5;22;87;0;1;False
2022-06-05;6;22;86;0;1;False
2022-06-12;6;22;87;0;1;False
2022-06-19;6;22;90;0;1;False
2022-06-26;6;21;95;0;1;False
2022-07-03;5;22;99;0;1;False
2022-07-10;6;22;99;0;1;False
2022-07-17;5;23;84;0;1;False
2022-07-24;5;24;96;0;1;False
2022-07-31;5;38;92;0;1;False
2022-08-07;5;37;78;0;1;False
2022-08-14;5;25;82;0;1;False
2022-08-21;5;23;87;0;1;False
2022-08-28;6;25;84;0;1;False
2022-09-04;6;22;96;0;1;False
2022-09-11;6;24;89;0;1;False
2022-09-18;6;25;87;0;1;False
2022-09-25;6;27;96;0;1;False
2022-10-02;6;22;89;0;1;False
2022-10-09;6;22;86;0;1;False
2022-10-16;6;24;80;0;1;False
2022-10-23;6;24;84;0;1;False
2022-10-30;6;22;78;0;1;False
2022-11-06;6;25;98;0;1;False
2022-11-13;6;25;86;0;1;False
2022-11-20;6;24;76;0;1;False
2022-11-27;6;31;74;0;1;False
2022-12-04;6;22;76;0;1;False
2022-12-11;6;21;75;0;1;False
2022-12-18;6;26;77;0;1;False
2022-12-25;6;32;75;0;1;False
2023-01-01;6;26;85;0;1;False
2023-01-08;7;23;86;0;1;False
2023-01-15;7;25;96;0;1;False
2023-01-22;7;25;90;0;1;False
2023-01-29;7;24;100;0;1;False
