date;Mar-a-Lago;Festivals;Indigenous recognition;Paul Dacre;air travel;isPartial
2022-01-02;0;38;0;0;20;False
2022-01-09;0;39;0;0;22;False
2022-01-16;0;37;0;1;17;False
2022-01-23;0;55;0;1;19;False
2022-01-30;1;54;0;0;21;False
2022-02-06;0;47;0;0;22;False
2022-02-13;0;43;0;0;22;False
2022-02-20;0;53;0;0;22;False
2022-02-27;0;54;0;0;19;False
2022-03-06;1;49;0;0;20;False
2022-03-13;0;54;0;0;20;False
2022-03-20;0;55;0;0;20;False
2022-03-27;0;54;0;0;21;False
2022-04-03;0;49;0;0;19;False
2022-04-10;0;52;0;0;17;False
2022-04-17;0;58;0;0;18;False
2022-04-24;0;58;0;1;19;False
2022-05-01;0;0;0;0;20;False
2022-05-08;0;58;0;0;20;False
2022-05-15;0;61;0;0;21;False
2022-05-22;0;68;0;0;20;False
2022-05-29;0;80;0;0;20;False
2022-06-05;0;85;0;0;23;False
2022-06-12;0;0;0;0;20;False
2022-06-19;0;0;0;7;18;False
2022-06-26;0;100;0;0;20;False
2022-07-03;0;85;0;3;21;False
2022-07-10;0;82;0;1;21;False
2022-07-17;0;73;0;1;20;False
2022-07-24;0;77;0;1;20;False
2022-07-31;0;70;0;1;18;False
2022-08-07;5;80;0;1;18;False
2022-08-14;1;65;0;0;17;False
2022-08-21;1;79;0;1;15;False
2022-08-28;0;75;0;0;17;False
2022-09-04;0;0;0;0;18;False
2022-09-11;0;39;0;0;16;False
2022-09-18;1;35;0;0;15;False
2022-09-25;0;37;0;0;15;False
2022-10-02;1;33;0;2;15;False
2022-10-09;0;32;0;2;14;False
2022-10-16;0;30;0;0;13;False
2022-10-23;0;32;0;0;12;False
2022-10-30;0;35;0;1;12;False
2022-11-06;1;41;0;0;13;False
2022-11-13;0;31;0;0;11;False
2022-11-20;1;26;0;0;14;False
2022-11-27;0;31;0;0;14;False
2022-12-04;0;0;0;0;12;False
2022-12-11;1;0;0;0;12;False
2022-12-18;0;28;0;1;11;False
2022-12-25;0;29;0;0;15;False
2023-01-01;0;45;0;0;17;False
2023-01-08;0;46;0;0;16;False
2023-01-15;0;46;0;0;15;False
2023-01-22;0;58;0;0;14;False
2023-01-29;0;0;0;0;15;False
