date;Human biology;Burberry;Audiobooks;Peer review and scientific publishing;air travel;isPartial
2022-01-02;4;77;16;0;19;False
2022-01-09;4;65;14;0;21;False
2022-01-16;5;62;14;0;17;False
2022-01-23;4;67;14;0;18;False
2022-01-30;4;62;14;0;21;False
2022-02-06;4;65;12;0;21;False
2022-02-13;3;61;13;0;21;False
2022-02-20;4;60;13;0;21;False
2022-02-27;4;63;13;0;19;False
2022-03-06;4;87;12;0;20;False
2022-03-13;4;66;11;0;19;False
2022-03-20;5;64;11;0;19;False
2022-03-27;5;57;12;0;20;False
2022-04-03;3;58;13;0;18;False
2022-04-10;3;60;11;0;16;False
2022-04-17;5;57;12;0;18;False
2022-04-24;4;57;12;0;18;False
2022-05-01;3;61;14;0;19;False
2022-05-08;5;55;11;0;19;False
2022-05-15;10;58;11;0;20;False
2022-05-22;3;57;11;0;19;False
2022-05-29;2;60;10;0;19;False
2022-06-05;4;60;13;0;22;False
2022-06-12;5;58;10;0;19;False
2022-06-19;3;60;12;0;18;False
2022-06-26;1;58;12;0;19;False
2022-07-03;1;57;11;0;20;False
2022-07-10;0;59;12;0;21;False
2022-07-17;1;53;11;0;20;False
2022-07-24;0;58;11;0;19;False
2022-07-31;1;56;12;0;18;False
2022-08-07;1;58;12;0;17;False
2022-08-14;2;52;12;0;17;False
2022-08-21;3;61;11;0;15;False
2022-08-28;3;60;13;0;16;False
2022-09-04;4;61;12;0;17;False
2022-09-11;4;64;12;0;15;False
2022-09-18;4;65;12;0;14;False
2022-09-25;4;76;9;0;15;False
2022-10-02;5;66;11;0;14;False
2022-10-09;4;67;11;0;14;False
2022-10-16;3;64;11;0;12;False
2022-10-23;3;63;12;0;12;False
2022-10-30;3;67;11;0;11;False
2022-11-06;5;73;11;0;13;False
2022-11-13;3;84;11;0;11;False
2022-11-20;3;81;26;0;14;False
2022-11-27;3;83;15;0;13;False
2022-12-04;3;84;13;0;11;False
2022-12-11;4;86;12;0;12;False
2022-12-18;2;83;13;0;11;False
2022-12-25;2;100;15;0;14;False
2023-01-01;3;69;17;0;17;False
2023-01-08;4;61;18;0;15;False
2023-01-15;5;64;18;0;15;False
2023-01-22;4;60;16;0;14;False
2023-01-29;3;63;14;0;15;False
