date;Consumer rights;Blues;Drought;Gary Lineker;air travel;isPartial
2022-01-02;5;60;2;16;12;False
2022-01-09;6;56;3;12;14;False
2022-01-16;6;55;3;11;11;False
2022-01-23;6;56;4;11;12;False
2022-01-30;7;56;4;7;13;False
2022-02-06;6;51;0;8;13;False
2022-02-13;6;50;0;5;13;False
2022-02-20;6;50;3;7;13;False
2022-02-27;6;46;4;10;12;False
2022-03-06;5;49;4;7;12;False
2022-03-13;5;49;4;8;12;False
2022-03-20;6;48;4;6;12;False
2022-03-27;6;48;4;6;13;False
2022-04-03;6;53;0;8;12;False
2022-04-10;5;52;3;10;10;False
2022-04-17;5;55;4;8;11;False
2022-04-24;5;49;5;9;12;False
2022-05-01;6;53;6;21;12;False
2022-05-08;6;52;0;12;12;False
2022-05-15;6;54;6;7;13;False
2022-05-22;6;48;6;8;12;False
2022-05-29;5;51;4;7;12;False
2022-06-05;6;52;5;10;14;False
2022-06-12;5;53;6;8;12;False
2022-06-19;6;51;6;35;11;False
2022-06-26;5;49;5;11;12;False
2022-07-03;5;47;8;6;13;False
2022-07-10;5;53;11;8;13;False
2022-07-17;5;49;12;4;12;False
2022-07-24;5;51;19;6;12;False
2022-07-31;5;53;0;22;11;False
2022-08-07;5;48;100;9;11;False
2022-08-14;4;46;43;7;11;False
2022-08-21;5;55;22;6;9;False
2022-08-28;5;54;20;8;10;False
2022-09-04;5;48;11;11;11;False
2022-09-11;5;54;8;4;10;False
2022-09-18;5;58;7;7;9;False
2022-09-25;5;56;7;6;9;False
2022-10-02;5;55;7;6;9;False
2022-10-09;5;54;6;15;9;False
2022-10-16;6;56;5;7;8;False
2022-10-23;6;50;5;6;7;False
2022-10-30;5;54;5;7;7;False
2022-11-06;6;50;6;6;8;False
2022-11-13;5;46;0;10;7;False
2022-11-20;5;46;0;36;9;False
2022-11-27;6;48;5;55;8;False
2022-12-04;6;47;4;28;7;False
2022-12-11;5;46;4;15;7;False
2022-12-18;5;46;2;28;7;False
2022-12-25;4;56;2;11;9;False
2023-01-01;6;55;3;6;11;False
2023-01-08;6;64;5;7;10;False
2023-01-15;6;67;4;45;10;False
2023-01-22;6;56;4;7;9;False
2023-01-29;6;57;4;7;9;False
