date;sophy ridge on sunday podcast;Rural Australia;Oscars;Dance;air travel;isPartial
2022-01-02;0;0;3;48;2;False
2022-01-09;0;0;3;53;2;False
2022-01-16;0;0;2;44;2;False
2022-01-23;0;0;2;49;2;False
2022-01-30;0;0;3;49;2;False
2022-02-06;0;0;7;45;2;False
2022-02-13;0;0;3;43;2;False
2022-02-20;0;0;3;47;2;False
2022-02-27;0;0;3;48;2;False
2022-03-06;0;0;4;45;2;False
2022-03-13;0;0;5;44;2;False
2022-03-20;0;0;8;42;2;False
2022-03-27;0;0;100;43;2;False
2022-04-03;0;0;8;41;2;False
2022-04-10;0;0;5;40;1;False
2022-04-17;0;0;3;39;2;False
2022-04-24;0;0;2;41;2;False
2022-05-01;0;0;3;43;2;False
2022-05-08;0;0;2;41;2;False
2022-05-15;0;0;2;44;2;False
2022-05-22;0;0;2;38;2;False
2022-05-29;0;0;2;39;2;False
2022-06-05;0;0;2;40;2;False
2022-06-12;0;0;2;43;2;False
2022-06-19;0;0;2;44;2;False
2022-06-26;0;0;2;45;2;False
2022-07-03;0;0;2;40;2;False
2022-07-10;0;0;2;40;2;False
2022-07-17;0;0;2;38;2;False
2022-07-24;0;0;2;38;2;False
2022-07-31;0;0;2;41;2;False
2022-08-07;0;0;2;41;2;False
2022-08-14;0;0;2;35;2;False
2022-08-21;0;0;2;38;1;False
2022-08-28;0;0;2;40;1;False
2022-09-04;0;0;2;40;2;False
2022-09-11;0;0;1;40;1;False
2022-09-18;0;0;2;44;1;False
2022-09-25;0;0;2;43;1;False
2022-10-02;0;0;2;44;1;False
2022-10-09;0;0;1;44;1;False
2022-10-16;0;0;1;45;1;False
2022-10-23;0;0;2;40;1;False
2022-10-30;0;0;2;42;1;False
2022-11-06;0;0;2;48;1;False
2022-11-13;0;0;1;48;1;False
2022-11-20;0;0;1;41;1;False
2022-11-27;0;0;2;47;1;False
2022-12-04;0;0;1;43;1;False
2022-12-11;0;0;2;46;1;False
2022-12-18;0;0;3;52;1;False
2022-12-25;0;0;3;56;1;False
2023-01-01;0;0;2;56;2;False
2023-01-08;0;0;3;52;1;False
2023-01-15;0;0;3;50;1;False
2023-01-22;0;0;7;54;1;False
2023-01-29;0;0;4;49;1;False
