date;fashion;William Wilberforce;princess eugenie;fuel crisis;air travel;isPartial
2022-01-02;81;0;1;0;5;False
2022-01-09;88;0;1;0;6;False
2022-01-16;80;0;1;0;4;False
2022-01-23;91;0;1;0;5;False
2022-01-30;80;0;0;0;5;False
2022-02-06;82;0;1;0;5;False
2022-02-13;85;0;2;0;5;False
2022-02-20;90;0;1;1;5;False
2022-02-27;91;0;1;1;5;False
2022-03-06;92;0;0;1;5;False
2022-03-13;89;0;0;1;5;False
2022-03-20;88;0;1;0;5;False
2022-03-27;77;0;1;0;5;False
2022-04-03;87;0;0;1;5;False
2022-04-10;80;0;0;1;4;False
2022-04-17;83;0;1;0;5;False
2022-04-24;86;0;1;0;5;False
2022-05-01;100;0;1;0;5;False
2022-05-08;85;0;1;0;5;False
2022-05-15;88;0;1;0;5;False
2022-05-22;94;0;1;0;5;False
2022-05-29;82;0;4;0;5;False
2022-06-05;84;0;3;1;6;False
2022-06-12;79;0;1;1;5;False
2022-06-19;79;0;1;0;4;False
2022-06-26;82;0;1;0;5;False
2022-07-03;82;0;0;1;5;False
2022-07-10;77;0;0;0;5;False
2022-07-17;72;0;0;0;5;False
2022-07-24;74;0;0;0;5;False
2022-07-31;80;0;1;0;4;False
2022-08-07;77;0;0;0;4;False
2022-08-14;73;0;0;0;4;False
2022-08-21;72;0;0;1;4;False
2022-08-28;80;0;1;1;4;False
2022-09-04;78;0;5;1;4;False
2022-09-11;89;0;12;0;4;False
2022-09-18;85;0;14;0;4;False
2022-09-25;88;0;1;0;4;False
2022-10-02;90;0;1;0;4;False
2022-10-09;90;0;1;1;4;False
2022-10-16;82;0;1;0;3;False
2022-10-23;83;0;0;0;3;False
2022-10-30;78;0;0;0;3;False
2022-11-06;80;0;0;0;3;False
2022-11-13;87;0;1;0;3;False
2022-11-20;85;0;0;0;3;False
2022-11-27;79;0;0;0;3;False
2022-12-04;78;0;1;0;3;False
2022-12-11;73;0;2;0;3;False
2022-12-18;62;0;1;0;3;False
2022-12-25;76;0;2;0;4;False
2023-01-01;76;0;1;0;4;False
2023-01-08;81;0;1;0;4;False
2023-01-15;80;0;1;0;4;False
2023-01-22;82;0;4;0;4;False
2023-01-29;78;0;1;0;4;False
