date;Horror films;Democratic Republic of the Congo;Yaa Gyasi;Robert Buckland;air travel;isPartial
2022-01-02;39;1;1;5;62;False
2022-01-09;31;3;0;0;68;False
2022-01-16;33;2;1;6;53;False
2022-01-23;42;1;2;0;58;False
2022-01-30;35;1;2;4;66;False
2022-02-06;39;1;0;2;66;False
2022-02-13;42;1;0;2;66;False
2022-02-20;41;2;0;1;68;False
2022-02-27;33;1;1;3;59;False
2022-03-06;40;2;0;3;62;False
2022-03-13;36;0;1;1;62;False
2022-03-20;38;4;0;1;60;False
2022-03-27;35;2;1;1;64;False
2022-04-03;39;3;1;1;59;False
2022-04-10;45;0;1;2;51;False
2022-04-17;35;1;1;1;57;False
2022-04-24;34;2;1;2;58;False
2022-05-01;37;1;0;1;60;False
2022-05-08;38;4;0;1;62;False
2022-05-15;32;2;0;1;64;False
2022-05-22;37;2;1;12;61;False
2022-05-29;44;2;0;0;62;False
2022-06-05;36;2;0;2;69;False
2022-06-12;35;2;2;1;60;False
2022-06-19;40;1;0;1;56;False
2022-06-26;37;3;2;2;60;False
2022-07-03;38;1;1;22;63;False
2022-07-10;34;0;0;4;66;False
2022-07-17;39;2;2;3;63;False
2022-07-24;48;0;1;3;62;False
2022-07-31;45;1;0;0;56;False
2022-08-07;39;1;0;4;54;False
2022-08-14;46;1;0;1;53;False
2022-08-21;44;2;0;2;46;False
2022-08-28;50;1;1;2;51;False
2022-09-04;48;1;0;9;55;False
2022-09-11;47;3;0;2;48;False
2022-09-18;49;2;0;2;46;False
2022-09-25;56;2;1;2;47;False
2022-10-02;65;0;0;3;45;False
2022-10-09;82;2;0;2;43;False
2022-10-16;88;0;0;4;39;False
2022-10-23;100;1;0;10;37;False
2022-10-30;96;2;0;2;36;False
2022-11-06;39;3;0;0;41;False
2022-11-13;41;3;0;1;34;False
2022-11-20;27;1;1;1;43;False
2022-11-27;29;2;1;1;42;False
2022-12-04;33;3;1;0;36;False
2022-12-11;33;2;1;1;37;False
2022-12-18;37;1;1;0;34;False
2022-12-25;46;1;1;1;45;False
2023-01-01;47;1;0;0;53;False
2023-01-08;36;2;0;1;49;False
2023-01-15;43;3;1;1;48;False
2023-01-22;38;3;0;1;44;False
2023-01-29;43;4;1;1;47;False
