date;Francesco Molinari;Kosovo;kelly osbourne;Cotswolds holidays;air travel;isPartial
2022-01-02;0;15;6;4;35;False
2022-01-09;0;18;6;4;38;False
2022-01-16;0;17;5;2;30;False
2022-01-23;1;17;7;2;33;False
2022-01-30;0;17;6;3;37;False
2022-02-06;0;16;3;2;37;False
2022-02-13;0;22;6;3;37;False
2022-02-20;0;43;5;2;38;False
2022-02-27;1;50;3;2;33;False
2022-03-06;0;29;4;0;35;False
2022-03-13;2;29;6;2;35;False
2022-03-20;0;29;4;2;34;False
2022-03-27;0;29;4;2;36;False
2022-04-03;3;19;3;2;33;False
2022-04-10;0;19;5;2;29;False
2022-04-17;0;19;4;3;32;False
2022-04-24;0;22;7;2;33;False
2022-05-01;0;21;5;3;34;False
2022-05-08;0;21;42;2;35;False
2022-05-15;0;20;10;2;36;False
2022-05-22;1;19;5;1;34;False
2022-05-29;1;24;5;2;35;False
2022-06-05;0;56;5;3;39;False
2022-06-12;1;31;5;2;34;False
2022-06-19;1;22;4;3;31;False
2022-06-26;1;23;4;2;34;False
2022-07-03;1;16;3;2;36;False
2022-07-10;3;20;4;3;37;False
2022-07-17;0;18;5;1;35;False
2022-07-24;0;18;6;3;35;False
2022-07-31;0;100;6;2;31;False
2022-08-07;0;24;10;2;30;False
2022-08-14;0;17;5;3;30;False
2022-08-21;0;19;3;2;26;False
2022-08-28;0;30;7;2;29;False
2022-09-04;0;19;4;2;31;False
2022-09-11;2;19;5;2;27;False
2022-09-18;0;42;3;1;26;False
2022-09-25;0;29;8;0;26;False
2022-10-02;0;19;12;2;25;False
2022-10-09;0;19;5;2;24;False
2022-10-16;0;17;6;1;22;False
2022-10-23;0;19;6;1;21;False
2022-10-30;0;23;5;1;20;False
2022-11-06;0;23;6;1;23;False
2022-11-13;0;23;5;0;19;False
2022-11-20;0;30;4;1;24;False
2022-11-27;1;47;4;1;24;False
2022-12-04;0;24;5;1;20;False
2022-12-11;0;40;4;0;21;False
2022-12-18;0;21;8;0;19;False
2022-12-25;0;68;4;3;25;False
2023-01-01;0;24;50;3;30;False
2023-01-08;0;20;12;3;27;False
2023-01-15;1;17;3;2;27;False
2023-01-22;0;19;2;1;25;False
2023-01-29;0;20;5;2;27;False
