date;Brian Cox;The Bible;Georgia;Waterstones;air travel;isPartial
2023-01-01;2;17;25;23;3;False
2023-01-02;2;18;21;28;3;False
2023-01-03;1;15;19;20;2;False
2023-01-04;2;16;30;18;3;False
2023-01-05;1;17;87;18;2;False
2023-01-06;2;17;80;18;2;False
2023-01-07;2;17;85;20;2;False
2023-01-08;1;22;100;20;3;False
2023-01-09;1;16;76;19;2;False
2023-01-10;1;18;71;26;3;False
2023-01-11;1;17;60;17;3;False
2023-01-12;1;17;56;18;2;False
2023-01-13;3;17;57;15;2;False
2023-01-14;2;19;53;17;2;False
2023-01-15;5;23;57;19;2;False
2023-01-16;1;18;47;15;2;False
2023-01-17;1;17;39;13;2;False
2023-01-18;1;18;40;12;3;False
2023-01-19;0;17;36;15;2;False
2023-01-20;4;17;37;16;2;False
2023-01-21;6;18;40;19;2;False
2023-01-22;2;21;43;16;2;False
2023-01-23;2;18;35;14;2;False
2023-01-24;1;18;34;13;2;False
2023-01-25;2;17;33;14;2;False
2023-01-26;2;17;31;13;2;False
2023-01-27;5;16;30;15;2;False
2023-01-28;2;16;30;16;2;False
2023-01-29;1;20;32;15;2;False
2023-01-30;2;18;27;14;3;False
2023-01-31;1;17;25;14;3;False
