date;Bangladesh;pele;Radio industry;Aldi;air travel;isPartial
2022-01-02;7;1;0;68;1;False
2022-01-09;6;2;0;53;2;False
2022-01-16;5;1;0;46;1;False
2022-01-23;5;1;0;55;1;False
2022-01-30;5;1;0;51;2;False
2022-02-06;5;1;0;48;2;False
2022-02-13;4;1;0;53;2;False
2022-02-20;5;1;0;49;2;False
2022-02-27;6;1;0;48;1;False
2022-03-06;5;1;0;54;1;False
2022-03-13;5;1;0;52;1;False
2022-03-20;6;1;0;55;1;False
2022-03-27;6;1;0;50;1;False
2022-04-03;6;1;0;56;1;False
2022-04-10;5;1;0;75;1;False
2022-04-17;4;1;0;73;1;False
2022-04-24;4;1;0;50;1;False
2022-05-01;5;1;0;61;1;False
2022-05-08;4;1;0;50;1;False
2022-05-15;7;1;0;55;1;False
2022-05-22;6;1;0;55;1;False
2022-05-29;4;1;0;76;1;False
2022-06-05;5;1;0;51;2;False
2022-06-12;8;1;0;55;1;False
2022-06-19;8;1;0;56;1;False
2022-06-26;6;1;0;51;1;False
2022-07-03;6;1;0;55;1;False
2022-07-10;7;1;0;63;2;False
2022-07-17;5;1;0;58;1;False
2022-07-24;6;1;0;57;1;False
2022-07-31;6;1;0;59;1;False
2022-08-07;6;3;0;60;1;False
2022-08-14;4;1;0;57;1;False
2022-08-21;5;1;0;55;1;False
2022-08-28;7;1;0;68;1;False
2022-09-04;5;1;0;50;1;False
2022-09-11;5;1;0;55;1;False
2022-09-18;5;1;0;68;1;False
2022-09-25;5;1;0;60;1;False
2022-10-02;6;1;0;61;1;False
2022-10-09;6;1;0;55;1;False
2022-10-16;5;1;0;57;1;False
2022-10-23;6;1;0;63;1;False
2022-10-30;12;1;0;65;1;False
2022-11-06;7;1;0;86;1;False
2022-11-13;5;1;0;74;1;False
2022-11-20;4;3;0;66;1;False
2022-11-27;5;20;0;60;1;False
2022-12-04;16;23;0;62;1;False
2022-12-11;12;4;0;66;1;False
2022-12-18;10;8;0;96;1;False
2022-12-25;6;100;0;100;1;False
2023-01-01;5;17;0;79;1;False
2023-01-08;5;3;0;59;1;False
2023-01-15;5;2;0;53;1;False
2023-01-22;5;2;0;51;1;False
2023-01-29;5;1;0;52;1;False
