date;Angelina Jolie;Aviva;Universal credit;Models;air travel;isPartial
2022-01-02;1;5;56;8;1;False
2022-01-09;2;5;53;8;1;False
2022-01-16;2;0;54;8;1;False
2022-01-23;1;0;52;8;1;False
2022-01-30;1;6;65;8;1;False
2022-02-06;1;5;65;7;1;False
2022-02-13;1;5;53;7;1;False
2022-02-20;2;6;60;8;1;False
2022-02-27;1;6;58;8;1;False
2022-03-06;1;0;58;8;1;False
2022-03-13;1;5;53;8;1;False
2022-03-20;1;0;62;8;1;False
2022-03-27;1;6;55;8;1;False
2022-04-03;1;6;68;7;1;False
2022-04-10;1;4;61;7;1;False
2022-04-17;1;4;54;7;1;False
2022-04-24;1;4;58;8;1;False
2022-05-01;2;4;57;8;1;False
2022-05-08;1;6;61;7;1;False
2022-05-15;1;6;59;7;1;False
2022-05-22;1;5;69;7;1;False
2022-05-29;1;4;55;7;1;False
2022-06-05;1;5;67;7;1;False
2022-06-12;1;5;71;7;1;False
2022-06-19;1;5;66;7;1;False
2022-06-26;1;5;68;7;1;False
2022-07-03;1;5;77;7;1;False
2022-07-10;1;5;100;7;1;False
2022-07-17;1;4;70;6;1;False
2022-07-24;1;5;66;8;1;False
2022-07-31;1;5;65;7;1;False
2022-08-07;1;7;62;7;1;False
2022-08-14;1;5;62;7;1;False
2022-08-21;1;5;59;7;1;False
2022-08-28;1;4;58;7;1;False
2022-09-04;1;5;69;8;1;False
2022-09-11;1;5;69;7;1;False
2022-09-18;1;4;63;7;1;False
2022-09-25;1;6;71;7;1;False
2022-10-02;1;5;68;8;1;False
2022-10-09;1;5;68;7;1;False
2022-10-16;1;5;67;7;1;False
2022-10-23;1;5;60;7;0;False
2022-10-30;1;5;61;7;0;False
2022-11-06;1;5;69;8;1;False
2022-11-13;1;5;61;7;0;False
2022-11-20;1;4;69;7;1;False
2022-11-27;1;5;64;8;1;False
2022-12-04;1;4;60;7;0;False
2022-12-11;1;4;64;7;0;False
2022-12-18;1;4;63;7;0;False
2022-12-25;1;3;40;7;1;False
2023-01-01;1;5;58;7;1;False
2023-01-08;1;5;54;8;1;False
2023-01-15;1;6;63;8;1;False
2023-01-22;1;6;64;8;1;False
2023-01-29;1;7;64;8;1;False
