date;Angry Birds;Katherine Ryan;Devolution;Jennifer Lopez;air travel;isPartial
2022-01-02;8;10;2;14;17;False
2022-01-09;8;8;4;13;20;False
2022-01-16;10;10;3;17;15;False
2022-01-23;9;7;3;16;16;False
2022-01-30;11;9;4;20;18;False
2022-02-06;8;13;3;24;18;False
2022-02-13;10;12;2;31;19;False
2022-02-20;9;9;3;20;19;False
2022-02-27;8;10;2;15;16;False
2022-03-06;9;9;3;14;17;False
2022-03-13;9;7;2;16;17;False
2022-03-20;8;6;3;17;17;False
2022-03-27;10;7;3;15;18;False
2022-04-03;9;8;3;26;17;False
2022-04-10;9;5;2;33;14;False
2022-04-17;7;4;3;18;15;False
2022-04-24;6;5;4;14;16;False
2022-05-01;8;7;4;15;17;False
2022-05-08;8;5;5;12;17;False
2022-05-15;9;6;3;12;18;False
2022-05-22;9;6;4;14;17;False
2022-05-29;9;3;4;15;17;False
2022-06-05;9;29;5;18;19;False
2022-06-12;8;18;3;43;17;False
2022-06-19;9;11;2;39;16;False
2022-06-26;10;9;3;20;17;False
2022-07-03;9;6;2;18;18;False
2022-07-10;11;8;2;17;18;False
2022-07-17;9;13;2;98;17;False
2022-07-24;9;6;2;32;17;False
2022-07-31;9;7;3;25;15;False
2022-08-07;8;6;2;20;15;False
2022-08-14;7;7;2;18;15;False
2022-08-21;11;7;2;30;13;False
2022-08-28;8;8;3;19;14;False
2022-09-04;7;6;3;15;15;False
2022-09-11;8;7;3;20;13;False
2022-09-18;8;6;3;20;13;False
2022-09-25;7;7;3;17;13;False
2022-10-02;8;5;3;16;13;False
2022-10-09;9;6;4;14;12;False
2022-10-16;8;5;4;11;11;False
2022-10-23;9;6;3;12;10;False
2022-10-30;7;5;3;10;10;False
2022-11-06;8;8;4;12;11;False
2022-11-13;7;21;4;10;10;False
2022-11-20;8;100;4;13;12;False
2022-11-27;8;45;4;17;12;False
2022-12-04;9;15;5;11;10;False
2022-12-11;8;15;4;13;10;False
2022-12-18;9;12;2;13;10;False
2022-12-25;13;47;3;16;13;False
2023-01-01;13;31;3;14;15;False
2023-01-08;10;12;4;18;14;False
2023-01-15;8;9;5;15;13;False
2023-01-22;8;19;4;35;12;False
2023-01-29;9;24;4;38;13;False
