date;Gillingham;Brisbane Broncos;British Horseracing Authority;League Two;air travel;isPartial
2022-01-02;55;0;0;8;13;False
2022-01-09;55;0;0;8;16;False
2022-01-16;46;0;0;8;12;False
2022-01-23;53;0;0;8;13;False
2022-01-30;57;0;0;8;14;False
2022-02-06;48;0;0;9;14;False
2022-02-13;48;0;1;9;15;False
2022-02-20;45;0;1;9;15;False
2022-02-27;47;0;0;9;13;False
2022-03-06;46;0;0;9;14;False
2022-03-13;50;0;0;11;13;False
2022-03-20;46;0;0;11;13;False
2022-03-27;44;0;0;9;14;False
2022-04-03;43;0;0;9;13;False
2022-04-10;45;0;0;11;11;False
2022-04-17;51;0;0;16;12;False
2022-04-24;52;0;0;15;13;False
2022-05-01;48;0;0;22;13;False
2022-05-08;41;0;0;14;13;False
2022-05-15;43;0;0;12;14;False
2022-05-22;43;1;0;10;13;False
2022-05-29;47;0;0;6;14;False
2022-06-05;44;1;0;5;15;False
2022-06-12;46;0;0;4;13;False
2022-06-19;46;0;0;4;12;False
2022-06-26;47;0;0;3;13;False
2022-07-03;47;0;0;4;14;False
2022-07-10;53;0;0;3;14;False
2022-07-17;58;0;0;4;14;False
2022-07-24;53;0;0;8;14;False
2022-07-31;53;0;0;6;12;False
2022-08-07;55;1;0;7;12;False
2022-08-14;51;0;0;9;12;False
2022-08-21;51;0;0;8;10;False
2022-08-28;52;0;0;8;11;False
2022-09-04;44;0;1;5;12;False
2022-09-11;49;0;0;9;10;False
2022-09-18;46;0;0;8;10;False
2022-09-25;46;0;0;7;10;False
2022-10-02;48;0;0;8;10;False
2022-10-09;48;0;0;9;10;False
2022-10-16;44;0;0;8;9;False
2022-10-23;46;0;0;10;8;False
2022-10-30;44;0;0;7;8;False
2022-11-06;58;1;0;9;9;False
2022-11-13;51;0;0;11;7;False
2022-11-20;44;0;0;4;9;False
2022-11-27;45;0;0;6;9;False
2022-12-04;50;0;1;5;8;False
2022-12-11;47;0;0;5;8;False
2022-12-18;68;0;0;4;7;False
2022-12-25;57;0;0;13;10;False
2023-01-01;100;0;0;11;12;False
2023-01-08;56;0;0;10;11;False
2023-01-15;51;0;0;8;10;False
2023-01-22;49;0;0;10;10;False
2023-01-29;54;0;0;10;10;False
