date;Alexei Navalny;raf;Novichok poisonings;Animals;air travel;isPartial
2022-01-02;0;20;0;66;5;False
2022-01-09;0;22;0;75;5;False
2022-01-16;0;21;0;70;4;False
2022-01-23;0;23;0;77;4;False
2022-01-30;0;37;0;100;5;False
2022-02-06;0;24;0;69;5;False
2022-02-13;0;30;0;63;5;False
2022-02-20;2;33;0;65;5;False
2022-02-27;2;26;0;69;4;False
2022-03-06;1;26;0;78;5;False
2022-03-13;1;24;0;68;5;False
2022-03-20;2;26;0;66;5;False
2022-03-27;0;22;0;64;5;False
2022-04-03;0;20;0;58;4;False
2022-04-10;0;21;0;62;4;False
2022-04-17;0;19;0;60;4;False
2022-04-24;2;19;0;63;4;False
2022-05-01;1;24;0;69;5;False
2022-05-08;0;30;0;64;5;False
2022-05-15;0;23;0;67;5;False
2022-05-22;0;23;0;58;5;False
2022-05-29;0;34;0;55;5;False
2022-06-05;0;25;0;57;5;False
2022-06-12;0;24;0;65;5;False
2022-06-19;0;23;0;71;4;False
2022-06-26;0;23;0;62;5;False
2022-07-03;0;22;0;57;5;False
2022-07-10;0;26;0;57;5;False
2022-07-17;0;27;0;53;5;False
2022-07-24;0;24;0;55;5;False
2022-07-31;0;23;0;53;4;False
2022-08-07;0;25;0;53;4;False
2022-08-14;0;28;0;50;4;False
2022-08-21;0;28;0;60;4;False
2022-08-28;0;24;0;56;4;False
2022-09-04;0;33;0;51;4;False
2022-09-11;0;62;0;60;4;False
2022-09-18;0;28;0;60;3;False
2022-09-25;0;23;0;62;4;False
2022-10-02;0;21;0;61;3;False
2022-10-09;0;21;0;60;3;False
2022-10-16;0;24;0;60;3;False
2022-10-23;0;23;0;51;3;False
2022-10-30;0;21;0;58;3;False
2022-11-06;0;23;0;65;3;False
2022-11-13;0;22;0;63;3;False
2022-11-20;0;19;0;61;3;False
2022-11-27;0;18;0;59;3;False
2022-12-04;0;19;0;57;3;False
2022-12-11;0;18;0;53;3;False
2022-12-18;0;17;0;51;3;False
2022-12-25;0;18;0;53;3;False
2023-01-01;0;19;0;61;4;False
2023-01-08;0;19;0;64;4;False
2023-01-15;0;21;0;70;4;False
2023-01-22;0;20;0;79;3;False
2023-01-29;0;22;0;66;4;False
