date;Law (Australia);Birmingham;Vaping;Los Angeles FC;air travel;isPartial
2022-01-02;0;71;2;0;1;False
2022-01-09;0;75;2;0;1;False
2022-01-16;0;70;2;0;1;False
2022-01-23;0;75;2;0;1;False
2022-01-30;0;79;2;0;1;False
2022-02-06;0;75;2;0;1;False
2022-02-13;0;81;2;0;1;False
2022-02-20;0;86;2;0;1;False
2022-02-27;0;76;2;0;1;False
2022-03-06;0;78;2;0;1;False
2022-03-13;0;81;2;0;1;False
2022-03-20;0;82;2;0;1;False
2022-03-27;0;77;2;0;1;False
2022-04-03;0;77;2;0;1;False
2022-04-10;0;79;2;0;1;False
2022-04-17;0;75;2;0;1;False
2022-04-24;0;76;2;0;1;False
2022-05-01;0;86;3;0;1;False
2022-05-08;0;93;2;0;1;False
2022-05-15;0;83;2;0;1;False
2022-05-22;0;81;2;0;1;False
2022-05-29;0;89;2;0;1;False
2022-06-05;0;86;3;0;1;False
2022-06-12;0;90;3;0;1;False
2022-06-19;0;90;3;0;1;False
2022-06-26;0;89;2;0;1;False
2022-07-03;0;82;2;0;1;False
2022-07-10;0;93;3;0;1;False
2022-07-17;0;88;2;0;1;False
2022-07-24;0;100;2;0;1;False
2022-07-31;0;100;3;0;1;False
2022-08-07;0;94;2;0;1;False
2022-08-14;0;85;2;0;1;False
2022-08-21;0;85;2;0;1;False
2022-08-28;0;87;2;0;1;False
2022-09-04;0;79;2;0;1;False
2022-09-11;0;86;3;0;1;False
2022-09-18;0;89;2;0;1;False
2022-09-25;0;86;3;0;1;False
2022-10-02;0;80;2;0;1;False
2022-10-09;0;85;2;0;1;False
2022-10-16;0;79;3;0;1;False
2022-10-23;0;83;3;0;1;False
2022-10-30;0;81;3;0;1;False
2022-11-06;0;87;2;0;1;False
2022-11-13;0;75;2;0;1;False
2022-11-20;0;72;2;0;1;False
2022-11-27;0;72;2;0;1;False
2022-12-04;0;77;2;0;1;False
2022-12-11;0;73;2;0;1;False
2022-12-18;0;73;2;0;1;False
2022-12-25;0;78;2;0;1;False
2023-01-01;0;74;3;0;1;False
2023-01-08;0;71;3;0;1;False
2023-01-15;0;77;3;0;1;False
2023-01-22;0;79;3;0;1;False
2023-01-29;0;82;3;0;1;False
