date;Johannes Vermeer;Hellas Verona;National Portrait Gallery;Winter sports holidays;air travel;isPartial
2023-01-01;6;11;28;0;76;False
2023-01-02;0;0;37;0;90;False
2023-01-03;0;0;29;0;59;False
2023-01-04;15;19;22;11;89;False
2023-01-05;0;5;20;0;73;False
2023-01-06;0;0;16;0;73;False
2023-01-07;0;0;24;0;53;False
2023-01-08;0;15;33;13;84;False
2023-01-09;10;7;9;0;50;False
2023-01-10;0;0;21;5;79;False
2023-01-11;6;0;13;0;90;False
2023-01-12;0;5;20;8;75;False
2023-01-13;5;0;36;8;60;False
2023-01-14;0;28;16;0;56;False
2023-01-15;7;9;16;0;66;False
2023-01-16;5;9;23;0;68;False
2023-01-17;0;0;17;0;56;False
2023-01-18;8;0;27;0;80;False
2023-01-19;0;0;15;7;73;False
2023-01-20;0;13;17;0;59;False
2023-01-21;0;19;35;0;63;False
2023-01-22;0;0;35;11;70;False
2023-01-23;7;0;26;0;72;False
2023-01-24;0;0;6;0;55;False
2023-01-25;0;0;47;8;75;False
2023-01-26;0;0;28;0;68;False
2023-01-27;0;6;34;0;47;False
2023-01-28;14;0;13;0;66;False
2023-01-29;12;11;7;0;60;False
2023-01-30;9;20;30;0;100;False
2023-01-31;0;6;32;0;84;False
