date;Croatia;Comoros;Tom Tugendhat;Hugh Jackman;air travel;isPartial
2022-01-02;6;0;0;1;1;False
2022-01-09;7;3;0;1;2;False
2022-01-16;8;4;0;1;1;False
2022-01-23;7;5;1;1;1;False
2022-01-30;7;0;1;1;1;False
2022-02-06;7;0;0;1;1;False
2022-02-13;7;0;0;1;1;False
2022-02-20;7;0;0;1;2;False
2022-02-27;7;0;0;1;1;False
2022-03-06;7;0;0;1;1;False
2022-03-13;7;0;0;1;1;False
2022-03-20;8;0;0;1;1;False
2022-03-27;9;0;0;1;1;False
2022-04-03;9;0;0;1;1;False
2022-04-10;9;0;0;1;1;False
2022-04-17;10;0;0;1;1;False
2022-04-24;10;0;0;1;1;False
2022-05-01;12;0;0;1;1;False
2022-05-08;12;0;0;1;1;False
2022-05-15;13;0;0;1;1;False
2022-05-22;11;0;0;1;1;False
2022-05-29;12;0;0;1;1;False
2022-06-05;14;0;1;1;2;False
2022-06-12;16;0;0;1;1;False
2022-06-19;12;0;0;0;1;False
2022-06-26;12;0;0;1;1;False
2022-07-03;13;0;6;0;1;False
2022-07-10;13;0;9;1;1;False
2022-07-17;13;0;3;1;1;False
2022-07-24;14;0;0;1;1;False
2022-07-31;13;0;0;1;1;False
2022-08-07;13;0;0;1;1;False
2022-08-14;11;0;0;1;1;False
2022-08-21;9;0;0;1;1;False
2022-08-28;9;0;0;1;1;False
2022-09-04;8;1;1;1;1;False
2022-09-11;8;0;0;0;1;False
2022-09-18;8;0;0;1;1;False
2022-09-25;7;0;0;2;1;False
2022-10-02;6;0;0;1;1;False
2022-10-09;5;0;0;1;1;False
2022-10-16;5;0;0;1;1;False
2022-10-23;5;0;0;1;1;False
2022-10-30;4;0;0;1;1;False
2022-11-06;4;0;0;1;1;False
2022-11-13;5;0;0;1;1;False
2022-11-20;19;0;0;0;1;False
2022-11-27;26;0;0;1;1;False
2022-12-04;91;0;0;1;1;False
2022-12-11;100;0;0;1;1;False
2022-12-18;9;0;0;1;1;False
2022-12-25;6;0;0;1;1;False
2023-01-01;9;0;0;1;1;False
2023-01-08;8;0;0;1;1;False
2023-01-15;9;0;0;1;1;False
2023-01-22;8;0;0;1;1;False
2023-01-29;7;0;0;1;1;False
