date;houses of parliament;National Party;Nottinghamshire;Crime - Australia;air travel;isPartial
2022-01-02;1;1;11;84;6;False
2022-01-09;2;1;12;87;7;False
2022-01-16;2;1;11;82;5;False
2022-01-23;1;1;12;86;6;False
2022-01-30;2;1;12;84;7;False
2022-02-06;1;1;11;83;7;False
2022-02-13;1;1;12;76;7;False
2022-02-20;2;1;11;77;7;False
2022-02-27;1;1;11;83;6;False
2022-03-06;2;1;11;77;6;False
2022-03-13;1;1;12;77;6;False
2022-03-20;1;1;12;78;6;False
2022-03-27;1;1;12;76;6;False
2022-04-03;1;3;11;78;6;False
2022-04-10;1;3;10;70;5;False
2022-04-17;1;1;11;70;6;False
2022-04-24;2;1;11;81;6;False
2022-05-01;1;1;13;83;6;False
2022-05-08;2;2;12;79;6;False
2022-05-15;2;1;11;79;6;False
2022-05-22;1;1;10;78;6;False
2022-05-29;1;2;11;71;6;False
2022-06-05;2;2;11;78;7;False
2022-06-12;1;1;13;71;6;False
2022-06-19;2;1;13;72;6;False
2022-06-26;1;1;13;65;6;False
2022-07-03;3;1;11;70;6;False
2022-07-10;2;1;12;67;7;False
2022-07-17;2;1;13;70;6;False
2022-07-24;1;1;13;64;6;False
2022-07-31;1;1;12;66;6;False
2022-08-07;1;1;12;73;5;False
2022-08-14;1;1;11;64;5;False
2022-08-21;1;1;12;75;5;False
2022-08-28;1;1;12;73;5;False
2022-09-04;3;1;12;71;6;False
2022-09-11;4;1;11;81;5;False
2022-09-18;3;1;11;80;5;False
2022-09-25;1;1;10;88;5;False
2022-10-02;1;1;10;99;5;False
2022-10-09;2;1;11;100;4;False
2022-10-16;3;1;10;91;4;False
2022-10-23;3;1;10;78;4;False
2022-10-30;3;1;10;76;4;False
2022-11-06;3;1;10;77;4;False
2022-11-13;2;3;10;76;3;False
2022-11-20;1;1;9;67;4;False
2022-11-27;1;1;9;73;4;False
2022-12-04;1;1;9;68;4;False
2022-12-11;1;1;9;71;4;False
2022-12-18;1;1;9;60;3;False
2022-12-25;1;1;9;60;5;False
2023-01-01;1;1;11;75;5;False
2023-01-08;1;1;10;78;5;False
2023-01-15;2;1;11;80;5;False
2023-01-22;2;1;11;86;4;False
2023-01-29;2;1;11;80;5;False
