date;Australian military;Eric Clapton;Black Keys;UK city of culture;air travel;isPartial
2022-01-02;0;35;8;0;65;False
2022-01-09;1;33;10;1;75;False
2022-01-16;1;32;11;1;56;False
2022-01-23;1;72;10;1;61;False
2022-01-30;2;34;14;2;71;False
2022-02-06;0;37;11;1;70;False
2022-02-13;1;32;9;2;70;False
2022-02-20;2;38;9;0;71;False
2022-02-27;1;26;10;2;63;False
2022-03-06;0;41;16;1;66;False
2022-03-13;1;30;17;11;65;False
2022-03-20;1;27;15;4;64;False
2022-03-27;0;45;13;2;68;False
2022-04-03;0;35;14;1;63;False
2022-04-10;3;31;14;1;53;False
2022-04-17;0;34;13;0;59;False
2022-04-24;0;35;11;1;61;False
2022-05-01;1;46;14;2;63;False
2022-05-08;0;53;23;5;65;False
2022-05-15;2;100;20;4;67;False
2022-05-22;1;32;13;3;64;False
2022-05-29;4;36;15;32;65;False
2022-06-05;0;36;12;0;73;False
2022-06-12;0;35;16;0;65;False
2022-06-19;3;40;14;2;59;False
2022-06-26;1;62;10;5;63;False
2022-07-03;1;35;10;1;67;False
2022-07-10;1;36;10;0;69;False
2022-07-17;1;31;10;0;66;False
2022-07-24;0;37;13;6;65;False
2022-07-31;1;27;11;0;58;False
2022-08-07;2;37;13;3;57;False
2022-08-14;0;27;12;1;56;False
2022-08-21;1;31;11;0;49;False
2022-08-28;2;34;9;1;54;False
2022-09-04;1;27;17;1;58;False
2022-09-11;0;32;12;0;50;False
2022-09-18;5;32;9;0;49;False
2022-09-25;1;29;9;0;50;False
2022-10-02;0;32;10;2;47;False
2022-10-09;0;32;9;1;46;False
2022-10-16;1;28;9;0;42;False
2022-10-23;1;37;11;0;39;False
2022-10-30;0;33;10;0;38;False
2022-11-06;0;23;15;0;43;False
2022-11-13;1;27;16;0;36;False
2022-11-20;0;27;17;1;45;False
2022-11-27;0;37;12;0;44;False
2022-12-04;0;23;20;1;38;False
2022-12-11;0;25;37;1;39;False
2022-12-18;0;33;17;0;36;False
2022-12-25;0;47;19;0;48;False
2023-01-01;1;36;15;1;56;False
2023-01-08;1;46;15;0;51;False
2023-01-15;3;31;14;4;50;False
2023-01-22;1;42;15;0;46;False
2023-01-29;1;36;16;0;50;False
