date;Australia Day;Foreign policy;Mexican food and drink;TUC;air travel;isPartial
2023-01-01;18;2;0;6;15;False
2023-01-02;5;1;0;7;18;False
2023-01-03;7;3;0;5;12;False
2023-01-04;7;4;0;10;18;False
2023-01-05;7;4;0;8;14;False
2023-01-06;5;2;0;4;15;False
2023-01-07;4;2;0;3;11;False
2023-01-08;7;3;0;6;17;False
2023-01-09;5;3;0;9;10;False
2023-01-10;7;5;0;6;16;False
2023-01-11;3;4;0;8;18;False
2023-01-12;10;2;0;6;15;False
2023-01-13;5;0;0;4;12;False
2023-01-14;2;3;0;0;11;False
2023-01-15;9;3;0;4;13;False
2023-01-16;6;4;0;7;14;False
2023-01-17;6;4;0;5;11;False
2023-01-18;7;5;0;10;16;False
2023-01-19;6;4;0;10;14;False
2023-01-20;10;7;0;6;12;False
2023-01-21;7;0;0;5;13;False
2023-01-22;12;2;0;2;14;False
2023-01-23;13;4;0;7;14;False
2023-01-24;16;6;0;6;11;False
2023-01-25;40;3;0;6;15;False
2023-01-26;100;6;0;4;13;False
2023-01-27;18;3;0;8;9;False
2023-01-28;7;4;0;2;13;False
2023-01-29;6;2;0;7;12;False
2023-01-30;5;2;0;5;20;False
2023-01-31;4;5;0;8;17;False
