date;Bertie Ahern;Norfolk;James Webb space telescope;Ovarian cancer;air travel;isPartial
2023-01-01;0;80;0;5;6;False
2023-01-02;0;90;1;7;7;False
2023-01-03;0;91;1;8;4;False
2023-01-04;0;88;0;6;7;False
2023-01-05;0;82;0;7;5;False
2023-01-06;0;91;1;8;5;False
2023-01-07;1;74;0;4;4;False
2023-01-08;0;88;0;5;6;False
2023-01-09;0;83;1;6;4;False
2023-01-10;0;100;1;12;6;False
2023-01-11;0;88;0;8;7;False
2023-01-12;0;84;2;7;6;False
2023-01-13;1;79;0;6;4;False
2023-01-14;0;81;0;7;4;False
2023-01-15;0;81;0;7;5;False
2023-01-16;0;90;0;5;5;False
2023-01-17;0;79;0;6;4;False
2023-01-18;0;92;0;6;6;False
2023-01-19;0;78;0;7;5;False
2023-01-20;0;84;0;5;4;False
2023-01-21;0;78;0;6;5;False
2023-01-22;0;87;0;8;5;False
2023-01-23;1;85;0;7;5;False
2023-01-24;0;84;0;9;4;False
2023-01-25;0;78;0;10;6;False
2023-01-26;0;78;0;11;5;False
2023-01-27;0;77;0;32;4;False
2023-01-28;0;77;1;15;5;False
2023-01-29;0;87;0;12;4;False
2023-01-30;0;94;0;10;7;False
2023-01-31;0;84;1;12;6;False
