date;Mark Gatiss;prince harry;Harrison Ford;Luc Besson;air travel;isPartial
2022-01-02;0;6;2;0;2;False
2022-01-09;0;6;1;0;3;False
2022-01-16;0;8;1;0;2;False
2022-01-23;0;5;1;0;2;False
2022-01-30;0;6;2;0;3;False
2022-02-06;0;6;2;0;3;False
2022-02-13;0;6;2;0;3;False
2022-02-20;0;6;2;0;3;False
2022-02-27;0;4;1;0;2;False
2022-03-06;0;4;1;0;2;False
2022-03-13;0;4;1;0;2;False
2022-03-20;0;5;1;0;2;False
2022-03-27;0;7;1;0;2;False
2022-04-03;0;4;1;0;2;False
2022-04-10;0;7;1;0;2;False
2022-04-17;0;10;1;0;2;False
2022-04-24;0;5;1;0;2;False
2022-05-01;0;6;1;0;2;False
2022-05-08;0;6;1;0;2;False
2022-05-15;0;4;2;0;2;False
2022-05-22;0;5;2;0;2;False
2022-05-29;0;17;1;0;2;False
2022-06-05;0;19;1;0;3;False
2022-06-12;0;7;1;0;2;False
2022-06-19;0;6;2;0;2;False
2022-06-26;0;4;1;0;2;False
2022-07-03;0;5;1;0;2;False
2022-07-10;0;4;3;0;3;False
2022-07-17;0;6;2;0;2;False
2022-07-24;0;5;1;0;2;False
2022-07-31;0;5;1;0;2;False
2022-08-07;0;4;2;0;2;False
2022-08-14;0;4;1;0;2;False
2022-08-21;0;5;1;0;2;False
2022-08-28;0;6;1;0;2;False
2022-09-04;0;62;1;0;2;False
2022-09-11;0;53;2;0;2;False
2022-09-18;0;52;2;0;2;False
2022-09-25;0;11;1;0;2;False
2022-10-02;0;8;1;0;2;False
2022-10-09;0;6;2;0;2;False
2022-10-16;0;5;2;0;2;False
2022-10-23;0;10;1;0;1;False
2022-10-30;0;7;1;0;1;False
2022-11-06;0;6;1;0;2;False
2022-11-13;0;6;2;0;1;False
2022-11-20;0;5;2;0;2;False
2022-11-27;0;7;3;0;2;False
2022-12-04;0;19;2;0;1;False
2022-12-11;0;19;2;0;1;False
2022-12-18;1;11;3;0;1;False
2022-12-25;2;9;4;0;2;False
2023-01-01;0;60;4;0;2;False
2023-01-08;0;100;2;0;2;False
2023-01-15;0;26;2;0;2;False
2023-01-22;1;13;3;0;2;False
2023-01-29;1;9;3;0;2;False
