date;west sussex;Health, mind and body books;Vulture funds;Sacramento Kings;air travel;isPartial
2022-01-02;84;0;0;1;28;False
2022-01-09;90;0;1;1;32;False
2022-01-16;85;0;0;2;24;False
2022-01-23;80;0;0;0;26;False
2022-01-30;91;0;0;1;30;False
2022-02-06;83;0;0;3;30;False
2022-02-13;95;0;0;2;30;False
2022-02-20;79;0;0;0;31;False
2022-02-27;82;0;0;2;27;False
2022-03-06;84;0;0;1;28;False
2022-03-13;80;0;0;2;28;False
2022-03-20;87;0;0;3;27;False
2022-03-27;79;0;0;2;29;False
2022-04-03;79;0;0;1;26;False
2022-04-10;77;0;0;1;23;False
2022-04-17;77;0;0;1;26;False
2022-04-24;74;0;0;1;26;False
2022-05-01;85;0;0;1;27;False
2022-05-08;79;0;0;2;28;False
2022-05-15;82;0;0;1;29;False
2022-05-22;81;0;0;1;27;False
2022-05-29;82;0;0;1;28;False
2022-06-05;83;0;0;1;31;False
2022-06-12;80;0;0;1;27;False
2022-06-19;83;0;1;1;25;False
2022-06-26;74;0;0;1;27;False
2022-07-03;77;0;0;2;29;False
2022-07-10;86;0;0;1;30;False
2022-07-17;84;0;0;0;28;False
2022-07-24;88;0;0;0;28;False
2022-07-31;86;0;0;1;25;False
2022-08-07;100;0;0;0;24;False
2022-08-14;82;0;0;0;24;False
2022-08-21;87;0;0;0;21;False
2022-08-28;87;0;0;0;23;False
2022-09-04;82;0;0;0;25;False
2022-09-11;88;0;0;0;22;False
2022-09-18;79;0;0;0;21;False
2022-09-25;74;0;0;1;21;False
2022-10-02;75;0;1;1;20;False
2022-10-09;78;0;0;2;20;False
2022-10-16;76;0;0;1;18;False
2022-10-23;74;0;0;2;17;False
2022-10-30;75;0;0;2;16;False
2022-11-06;76;0;0;2;19;False
2022-11-13;73;0;0;1;16;False
2022-11-20;66;0;0;2;19;False
2022-11-27;69;0;0;2;19;False
2022-12-04;62;0;0;1;16;False
2022-12-11;71;0;0;1;17;False
2022-12-18;63;0;0;1;16;False
2022-12-25;61;0;0;2;20;False
2023-01-01;81;0;0;1;24;False
2023-01-08;83;0;0;2;22;False
2023-01-15;82;0;0;2;22;False
2023-01-22;79;0;0;1;20;False
2023-01-29;83;0;0;2;21;False
