date;Food and drink;Oregon;Ireland rugby union team;Bristol City Women;air travel;isPartial
2022-01-02;13;19;0;0;18;False
2022-01-09;17;20;0;0;20;False
2022-01-16;13;16;0;1;15;False
2022-01-23;14;21;0;1;17;False
2022-01-30;15;19;0;0;19;False
2022-02-06;14;18;0;0;19;False
2022-02-13;13;17;0;0;19;False
2022-02-20;13;21;1;0;20;False
2022-02-27;14;19;0;1;17;False
2022-03-06;15;17;0;1;18;False
2022-03-13;16;19;0;1;18;False
2022-03-20;16;20;0;0;18;False
2022-03-27;17;19;0;1;19;False
2022-04-03;16;19;0;1;17;False
2022-04-10;16;21;0;0;15;False
2022-04-17;16;18;0;1;16;False
2022-04-24;20;17;0;0;17;False
2022-05-01;18;23;0;1;17;False
2022-05-08;20;20;0;0;18;False
2022-05-15;18;19;0;0;19;False
2022-05-22;18;20;0;0;18;False
2022-05-29;25;21;0;0;18;False
2022-06-05;20;20;0;0;20;False
2022-06-12;21;19;0;0;18;False
2022-06-19;24;19;0;0;16;False
2022-06-26;21;23;0;0;18;False
2022-07-03;18;24;0;0;18;False
2022-07-10;21;49;0;0;19;False
2022-07-17;21;100;0;1;18;False
2022-07-24;19;48;0;1;18;False
2022-07-31;18;23;0;1;16;False
2022-08-07;19;24;0;1;16;False
2022-08-14;16;21;0;0;16;False
2022-08-21;22;20;0;0;14;False
2022-08-28;21;22;0;0;15;False
2022-09-04;17;22;0;0;16;False
2022-09-11;19;21;0;1;14;False
2022-09-18;18;20;0;1;13;False
2022-09-25;18;20;0;1;14;False
2022-10-02;16;19;0;0;13;False
2022-10-09;15;20;0;0;13;False
2022-10-16;13;21;0;1;12;False
2022-10-23;15;19;0;0;11;False
2022-10-30;15;21;0;1;11;False
2022-11-06;14;24;0;0;12;False
2022-11-13;13;19;0;0;10;False
2022-11-20;13;17;0;0;13;False
2022-11-27;13;19;0;0;12;False
2022-12-04;14;18;0;0;10;False
2022-12-11;15;19;0;1;11;False
2022-12-18;13;23;0;0;10;False
2022-12-25;12;20;0;0;13;False
2023-01-01;14;22;0;0;15;False
2023-01-08;13;18;0;1;14;False
2023-01-15;14;17;0;1;14;False
2023-01-22;14;19;0;2;13;False
2023-01-29;17;19;0;1;14;False
