date;sir keir starmer;Barratt Developments;Welfare;trinidad and tobago;air travel;isPartial
2022-01-02;6;1;85;7;33;False
2022-01-09;48;3;100;8;36;False
2022-01-16;12;2;100;7;28;False
2022-01-23;4;3;98;9;31;False
2022-01-30;9;3;95;8;35;False
2022-02-06;33;4;96;7;35;False
2022-02-13;2;3;88;7;35;False
2022-02-20;2;3;91;8;36;False
2022-02-27;1;3;86;8;31;False
2022-03-06;1;3;96;8;33;False
2022-03-13;1;3;89;8;33;False
2022-03-20;0;2;93;7;32;False
2022-03-27;2;3;88;9;34;False
2022-04-03;2;3;91;8;31;False
2022-04-10;7;3;80;8;27;False
2022-04-17;3;2;85;7;30;False
2022-04-24;6;2;98;7;31;False
2022-05-01;14;3;93;9;32;False
2022-05-08;13;3;93;8;33;False
2022-05-15;39;1;93;10;34;False
2022-05-22;3;1;89;8;32;False
2022-05-29;27;1;63;7;33;False
2022-06-05;3;2;83;7;37;False
2022-06-12;29;2;80;6;32;False
2022-06-19;2;2;83;11;30;False
2022-06-26;2;1;84;9;32;False
2022-07-03;30;1;91;7;34;False
2022-07-10;6;2;80;9;35;False
2022-07-17;3;3;75;8;33;False
2022-07-24;12;2;80;12;33;False
2022-07-31;2;2;73;11;30;False
2022-08-07;2;2;79;10;29;False
2022-08-14;3;2;75;7;28;False
2022-08-21;1;1;80;6;25;False
2022-08-28;6;1;82;8;27;False
2022-09-04;6;3;93;8;29;False
2022-09-11;4;2;88;9;25;False
2022-09-18;2;3;82;8;24;False
2022-09-25;15;5;92;10;25;False
2022-10-02;2;1;97;9;24;False
2022-10-09;2;3;91;8;23;False
2022-10-16;8;1;92;9;21;False
2022-10-23;9;2;84;6;19;False
2022-10-30;2;2;90;8;19;False
2022-11-06;2;2;95;9;22;False
2022-11-13;3;2;93;9;18;False
2022-11-20;2;0;86;9;23;False
2022-11-27;1;2;87;8;22;False
2022-12-04;7;2;82;8;19;False
2022-12-11;1;1;87;8;19;False
2022-12-18;6;1;65;7;18;False
2022-12-25;0;2;47;8;24;False
2023-01-01;3;2;81;7;28;False
2023-01-08;1;2;94;8;26;False
2023-01-15;5;2;97;8;25;False
2023-01-22;2;2;96;9;23;False
2023-01-29;2;2;94;8;25;False
