date;Late-night TV roundup;phillip schofield;Daniel Craig;Alan Joyce;air travel;isPartial
2022-01-02;0;8;39;0;15;False
2022-01-09;0;11;25;0;17;False
2022-01-16;0;16;18;0;13;False
2022-01-23;0;16;18;0;14;False
2022-01-30;0;39;16;0;16;False
2022-02-06;0;35;12;0;16;False
2022-02-13;0;13;16;0;16;False
2022-02-20;0;31;16;0;17;False
2022-02-27;0;10;15;0;15;False
2022-03-06;0;10;10;0;15;False
2022-03-13;0;9;12;0;15;False
2022-03-20;0;6;12;0;15;False
2022-03-27;0;19;14;0;16;False
2022-04-03;0;6;12;0;14;False
2022-04-10;0;5;23;0;12;False
2022-04-17;0;10;37;0;14;False
2022-04-24;0;7;20;0;14;False
2022-05-01;0;6;24;0;15;False
2022-05-08;0;6;14;0;15;False
2022-05-15;0;9;16;0;16;False
2022-05-22;0;4;15;0;15;False
2022-05-29;0;4;18;0;15;False
2022-06-05;0;6;21;0;17;False
2022-06-12;0;8;18;0;15;False
2022-06-19;0;8;12;0;14;False
2022-06-26;0;7;9;0;15;False
2022-07-03;0;13;10;0;16;False
2022-07-10;0;10;18;0;16;False
2022-07-17;0;5;12;0;15;False
2022-07-24;0;4;11;0;15;False
2022-07-31;0;3;10;0;14;False
2022-08-07;0;3;9;0;13;False
2022-08-14;0;3;10;0;13;False
2022-08-21;0;7;9;0;11;False
2022-08-28;0;3;9;0;13;False
2022-09-04;0;15;16;0;14;False
2022-09-11;0;26;18;0;12;False
2022-09-18;0;100;17;0;12;False
2022-09-25;0;29;12;0;12;False
2022-10-02;0;27;16;0;11;False
2022-10-09;0;36;15;0;11;False
2022-10-16;0;11;33;0;10;False
2022-10-23;0;7;16;0;9;False
2022-10-30;0;10;13;0;9;False
2022-11-06;0;6;26;0;10;False
2022-11-13;0;26;34;0;8;False
2022-11-20;0;5;39;0;11;False
2022-11-27;0;6;21;0;10;False
2022-12-04;0;8;14;0;9;False
2022-12-11;0;4;45;0;9;False
2022-12-18;0;8;60;0;8;False
2022-12-25;0;8;94;0;11;False
2023-01-01;0;12;61;0;13;False
2023-01-08;0;5;26;0;12;False
2023-01-15;0;6;32;0;12;False
2023-01-22;0;12;19;0;11;False
2023-01-29;0;4;19;0;12;False
