date;Tom Cruise;fifa;julian sands;Tibet;air travel;isPartial
2022-01-02;1;24;0;0;1;False
2022-01-09;1;24;0;0;1;False
2022-01-16;1;23;0;0;1;False
2022-01-23;2;23;0;0;1;False
2022-01-30;1;26;0;0;1;False
2022-02-06;2;22;0;0;1;False
2022-02-13;2;18;0;0;1;False
2022-02-20;1;21;0;0;1;False
2022-02-27;1;17;0;0;1;False
2022-03-06;1;16;0;0;1;False
2022-03-13;1;17;0;0;1;False
2022-03-20;1;17;0;0;1;False
2022-03-27;1;18;0;0;1;False
2022-04-03;1;16;0;0;1;False
2022-04-10;1;16;0;0;1;False
2022-04-17;1;18;0;0;1;False
2022-04-24;1;16;0;0;1;False
2022-05-01;2;21;0;0;1;False
2022-05-08;2;21;0;0;1;False
2022-05-15;12;19;0;0;1;False
2022-05-22;9;19;0;0;1;False
2022-05-29;11;22;0;0;1;False
2022-06-05;7;20;0;0;1;False
2022-06-12;5;17;0;0;1;False
2022-06-19;4;16;0;0;1;False
2022-06-26;3;16;0;0;1;False
2022-07-03;5;16;0;0;1;False
2022-07-10;3;17;0;0;1;False
2022-07-17;3;22;0;0;1;False
2022-07-24;3;21;0;0;1;False
2022-07-31;3;19;0;0;1;False
2022-08-07;2;23;0;0;1;False
2022-08-14;3;20;0;0;1;False
2022-08-21;4;18;0;0;1;False
2022-08-28;4;21;0;0;1;False
2022-09-04;3;17;0;0;1;False
2022-09-11;2;24;0;0;1;False
2022-09-18;2;60;0;0;1;False
2022-09-25;2;76;0;0;1;False
2022-10-02;2;46;0;0;1;False
2022-10-09;2;33;0;0;1;False
2022-10-16;2;31;0;0;0;False
2022-10-23;2;29;0;0;0;False
2022-10-30;2;25;0;0;0;False
2022-11-06;2;30;0;0;0;False
2022-11-13;1;36;0;0;0;False
2022-11-20;1;100;0;0;1;False
2022-11-27;1;99;0;0;1;False
2022-12-04;1;77;0;0;0;False
2022-12-11;2;46;0;1;0;False
2022-12-18;3;43;0;0;0;False
2022-12-25;5;31;0;0;1;False
2023-01-01;3;24;0;0;1;False
2023-01-08;2;23;0;0;1;False
2023-01-15;2;23;7;0;1;False
2023-01-22;2;23;9;0;1;False
2023-01-29;2;23;3;0;1;False
