date;lloyds;Sophocles;new delhi;Jamie Dimon;air travel;isPartial
2022-01-02;93;0;0;0;2;False
2022-01-09;85;0;0;0;2;False
2022-01-16;89;0;0;0;1;False
2022-01-23;84;0;1;0;2;False
2022-01-30;92;0;1;0;2;False
2022-02-06;84;0;1;0;2;False
2022-02-13;77;0;1;0;2;False
2022-02-20;84;0;1;0;2;False
2022-02-27;89;0;1;0;2;False
2022-03-06;78;0;1;0;2;False
2022-03-13;87;0;1;0;2;False
2022-03-20;86;0;1;0;2;False
2022-03-27;82;0;1;0;2;False
2022-04-03;80;0;1;0;2;False
2022-04-10;81;0;1;0;1;False
2022-04-17;75;0;1;0;2;False
2022-04-24;81;0;1;0;2;False
2022-05-01;84;0;1;0;2;False
2022-05-08;80;0;1;0;2;False
2022-05-15;86;0;1;0;2;False
2022-05-22;83;0;1;0;2;False
2022-05-29;80;0;1;0;2;False
2022-06-05;90;0;1;0;2;False
2022-06-12;78;0;1;0;2;False
2022-06-19;83;0;1;0;2;False
2022-06-26;87;0;1;0;2;False
2022-07-03;86;0;1;0;2;False
2022-07-10;96;0;1;0;2;False
2022-07-17;85;0;1;0;2;False
2022-07-24;95;0;1;0;2;False
2022-07-31;91;0;1;0;2;False
2022-08-07;83;0;1;0;1;False
2022-08-14;81;0;1;0;1;False
2022-08-21;89;0;1;0;1;False
2022-08-28;83;0;1;0;1;False
2022-09-04;82;0;1;0;1;False
2022-09-11;91;0;1;0;1;False
2022-09-18;89;0;1;0;1;False
2022-09-25;100;0;1;0;1;False
2022-10-02;86;0;1;0;1;False
2022-10-09;83;0;1;0;1;False
2022-10-16;84;0;1;0;1;False
2022-10-23;88;0;1;0;1;False
2022-10-30;88;0;1;0;1;False
2022-11-06;87;0;1;0;1;False
2022-11-13;82;0;1;0;1;False
2022-11-20;78;0;1;0;1;False
2022-11-27;83;0;1;0;1;False
2022-12-04;84;0;1;0;1;False
2022-12-11;78;0;1;0;1;False
2022-12-18;89;0;1;0;1;False
2022-12-25;69;0;1;0;1;False
2023-01-01;80;0;1;0;1;False
2023-01-08;79;0;1;0;1;False
2023-01-15;84;0;1;0;1;False
2023-01-22;87;0;1;0;1;False
2023-01-29;91;0;1;0;1;False
