date;omicron;Arts policy;Emmanuel Macron;Meat Loaf;air travel;isPartial
2023-01-01;37;0;10;50;76;False
2023-01-02;55;0;0;14;90;False
2023-01-03;59;0;7;8;59;False
2023-01-04;67;0;0;21;89;False
2023-01-05;50;0;0;9;73;False
2023-01-06;43;0;5;20;73;False
2023-01-07;28;0;26;6;53;False
2023-01-08;64;0;12;23;84;False
2023-01-09;37;0;18;0;50;False
2023-01-10;34;0;19;7;79;False
2023-01-11;30;0;9;0;90;False
2023-01-12;40;0;13;0;75;False
2023-01-13;22;0;9;13;60;False
2023-01-14;45;10;0;24;56;False
2023-01-15;19;0;0;12;66;False
2023-01-16;27;0;10;15;68;False
2023-01-17;33;0;7;13;56;False
2023-01-18;35;0;10;0;80;False
2023-01-19;21;0;5;10;73;False
2023-01-20;25;7;13;31;59;False
2023-01-21;14;0;19;52;63;False
2023-01-22;21;0;0;26;70;False
2023-01-23;22;0;12;12;72;False
2023-01-24;23;0;8;15;55;False
2023-01-25;13;0;0;12;75;False
2023-01-26;28;0;8;39;68;False
2023-01-27;26;0;0;20;47;False
2023-01-28;35;0;0;22;66;False
2023-01-29;23;0;16;18;60;False
2023-01-30;27;0;0;17;100;False
2023-01-31;24;0;6;24;84;False
