date;Charlton Athletic;Recycling;Rural affairs;Lisa Nandy;air travel;isPartial
2022-01-02;38;0;1;2;51;False
2022-01-09;55;0;1;8;55;False
2022-01-16;42;0;1;2;43;False
2022-01-23;41;0;1;5;48;False
2022-01-30;53;0;0;27;54;False
2022-02-06;41;0;1;3;54;False
2022-02-13;33;0;1;3;54;False
2022-02-20;34;0;1;2;55;False
2022-02-27;33;0;0;2;48;False
2022-03-06;27;0;1;3;51;False
2022-03-13;34;0;1;5;50;False
2022-03-20;26;0;3;7;49;False
2022-03-27;26;0;2;2;52;False
2022-04-03;26;0;1;1;48;False
2022-04-10;28;0;1;2;41;False
2022-04-17;33;0;1;3;46;False
2022-04-24;23;0;1;5;48;False
2022-05-01;29;0;1;4;49;False
2022-05-08;30;0;1;24;50;False
2022-05-15;27;0;1;5;52;False
2022-05-22;33;0;2;8;50;False
2022-05-29;26;0;1;5;51;False
2022-06-05;32;0;1;16;56;False
2022-06-12;27;0;1;4;49;False
2022-06-19;35;0;0;7;46;False
2022-06-26;32;0;1;4;49;False
2022-07-03;31;0;1;7;52;False
2022-07-10;32;0;1;12;54;False
2022-07-17;35;0;0;5;51;False
2022-07-24;42;0;1;4;51;False
2022-07-31;38;0;0;19;46;False
2022-08-07;67;0;2;2;44;False
2022-08-14;45;0;1;2;43;False
2022-08-21;38;0;1;3;38;False
2022-08-28;43;0;0;2;42;False
2022-09-04;28;0;3;5;45;False
2022-09-11;36;0;1;1;39;False
2022-09-18;43;0;1;1;37;False
2022-09-25;31;0;1;8;38;False
2022-10-02;29;0;1;16;37;False
2022-10-09;31;0;1;13;35;False
2022-10-16;47;0;2;15;32;False
2022-10-23;45;0;2;11;30;False
2022-10-30;37;0;1;2;30;False
2022-11-06;37;0;2;2;33;False
2022-11-13;28;0;1;4;28;False
2022-11-20;24;0;1;2;35;False
2022-11-27;30;0;1;18;34;False
2022-12-04;48;0;0;6;29;False
2022-12-11;33;0;1;3;30;False
2022-12-18;62;0;2;4;28;False
2022-12-25;43;0;0;3;37;False
2023-01-01;54;0;2;4;43;False
2023-01-08;100;0;2;5;40;False
2023-01-15;34;0;1;7;39;False
2023-01-22;40;0;0;4;36;False
2023-01-29;44;0;1;5;39;False
