date;Tom Brady;Brisbane Broncos;Donmar Warehouse;Radio 3;air travel;isPartial
2023-01-01;61;5;0;50;35;False
2023-01-02;49;0;5;38;41;False
2023-01-03;39;0;5;24;27;False
2023-01-04;39;0;5;28;40;False
2023-01-05;18;0;0;31;33;False
2023-01-06;16;0;4;38;33;False
2023-01-07;22;0;5;32;24;False
2023-01-08;61;0;4;33;38;False
2023-01-09;39;0;4;35;23;False
2023-01-10;28;0;7;35;36;False
2023-01-11;25;0;5;34;41;False
2023-01-12;25;0;7;32;34;False
2023-01-13;20;2;8;38;27;False
2023-01-14;33;0;6;45;25;False
2023-01-15;27;7;5;38;30;False
2023-01-16;22;0;2;40;31;False
2023-01-17;100;0;5;47;25;False
2023-01-18;59;0;5;50;36;False
2023-01-19;36;6;8;30;33;False
2023-01-20;34;6;4;39;27;False
2023-01-21;36;9;6;27;29;False
2023-01-22;31;0;6;52;32;False
2023-01-23;20;0;3;36;33;False
2023-01-24;18;0;3;32;25;False
2023-01-25;22;0;10;35;34;False
2023-01-26;18;0;7;34;31;False
2023-01-27;26;0;4;31;21;False
2023-01-28;21;0;3;32;30;False
2023-01-29;14;3;5;31;27;False
2023-01-30;31;0;5;28;45;False
2023-01-31;57;0;8;29;38;False
