date;Painting;cuba;Nottingham Forest;New Zealand politics;air travel;isPartial
2022-01-02;54;11;20;0;4;False
2022-01-09;49;13;43;0;4;False
2022-01-16;54;12;19;0;3;False
2022-01-23;52;12;22;0;3;False
2022-01-30;47;11;22;0;4;False
2022-02-06;50;11;46;0;4;False
2022-02-13;52;11;13;0;4;False
2022-02-20;49;12;15;0;4;False
2022-02-27;45;12;17;0;3;False
2022-03-06;45;12;32;0;4;False
2022-03-13;45;11;24;0;4;False
2022-03-20;44;12;36;0;3;False
2022-03-27;42;12;12;0;4;False
2022-04-03;40;11;24;0;3;False
2022-04-10;47;18;18;0;3;False
2022-04-17;43;11;25;0;3;False
2022-04-24;42;10;29;0;3;False
2022-05-01;45;13;41;0;3;False
2022-05-08;45;12;30;0;4;False
2022-05-15;44;11;65;0;4;False
2022-05-22;41;10;37;0;3;False
2022-05-29;46;11;100;0;4;False
2022-06-05;43;10;19;0;4;False
2022-06-12;39;10;25;0;3;False
2022-06-19;41;10;25;0;3;False
2022-06-26;40;10;27;0;3;False
2022-07-03;42;9;32;0;4;False
2022-07-10;40;10;34;0;4;False
2022-07-17;35;10;47;0;4;False
2022-07-24;45;11;43;0;4;False
2022-07-31;42;10;49;0;3;False
2022-08-07;43;11;40;0;3;False
2022-08-14;42;10;63;0;3;False
2022-08-21;44;10;34;0;3;False
2022-08-28;43;10;70;0;3;False
2022-09-04;42;9;17;0;3;False
2022-09-11;46;10;23;0;3;False
2022-09-18;45;10;14;0;3;False
2022-09-25;42;14;12;0;3;False
2022-10-02;46;10;33;0;3;False
2022-10-09;47;10;29;0;2;False
2022-10-16;46;10;40;0;2;False
2022-10-23;49;10;18;0;2;False
2022-10-30;46;10;37;0;2;False
2022-11-06;46;10;31;0;2;False
2022-11-13;45;10;11;0;2;False
2022-11-20;41;10;9;0;2;False
2022-11-27;40;9;10;0;2;False
2022-12-04;37;10;11;0;2;False
2022-12-11;39;8;11;0;2;False
2022-12-18;35;9;16;0;2;False
2022-12-25;39;11;32;0;3;False
2023-01-01;41;12;40;0;3;False
2023-01-08;44;12;41;0;3;False
2023-01-15;45;11;31;0;3;False
2023-01-22;46;10;43;0;2;False
2023-01-29;51;11;46;0;3;False
