date;Astronomy;wuhan;Eden Project;snow;air travel;isPartial
2022-01-02;1;0;1;31;1;False
2022-01-09;1;0;1;21;1;False
2022-01-16;1;0;1;23;1;False
2022-01-23;1;0;1;29;1;False
2022-01-30;4;0;1;24;1;False
2022-02-06;1;0;1;24;1;False
2022-02-13;1;0;1;22;1;False
2022-02-20;1;0;1;19;1;False
2022-02-27;1;0;1;16;1;False
2022-03-06;1;0;1;14;1;False
2022-03-13;1;0;1;13;1;False
2022-03-20;1;0;1;12;1;False
2022-03-27;0;0;1;20;1;False
2022-04-03;1;0;1;13;1;False
2022-04-10;0;0;1;9;1;False
2022-04-17;0;0;1;9;1;False
2022-04-24;0;0;1;8;1;False
2022-05-01;0;0;1;8;1;False
2022-05-08;1;0;1;8;1;False
2022-05-15;0;0;2;7;1;False
2022-05-22;0;0;1;7;1;False
2022-05-29;0;0;2;7;1;False
2022-06-05;0;0;1;7;1;False
2022-06-12;1;0;2;7;1;False
2022-06-19;1;0;1;8;1;False
2022-06-26;0;0;1;7;1;False
2022-07-03;0;0;2;7;1;False
2022-07-10;1;0;1;7;1;False
2022-07-17;0;0;1;7;1;False
2022-07-24;0;0;2;8;1;False
2022-07-31;0;0;2;8;1;False
2022-08-07;0;0;1;8;1;False
2022-08-14;0;0;1;7;1;False
2022-08-21;0;0;1;11;1;False
2022-08-28;0;0;1;11;1;False
2022-09-04;0;0;1;11;1;False
2022-09-11;1;0;1;12;1;False
2022-09-18;0;0;1;13;1;False
2022-09-25;1;0;1;11;1;False
2022-10-02;1;0;1;13;1;False
2022-10-09;1;0;1;13;1;False
2022-10-16;1;0;1;13;1;False
2022-10-23;1;0;1;15;1;False
2022-10-30;1;0;1;15;1;False
2022-11-06;1;0;1;18;1;False
2022-11-13;1;0;1;25;1;False
2022-11-20;1;0;1;26;1;False
2022-11-27;1;0;1;35;1;False
2022-12-04;1;0;1;55;1;False
2022-12-11;1;0;1;100;1;False
2022-12-18;0;0;1;37;1;False
2022-12-25;1;1;1;38;1;False
2023-01-01;1;0;1;37;1;False
2023-01-08;1;0;1;31;1;False
2023-01-15;1;0;1;46;1;False
2023-01-22;1;0;1;26;1;False
2023-01-29;1;0;1;23;1;False
