date;Jonathan Glazer;Tottenham Hotspur Women;Painting;Joseph Gordon-Levitt;air travel;isPartial
2023-01-01;0;0;83;1;6;False
2023-01-02;0;0;79;1;7;False
2023-01-03;0;0;75;0;4;False
2023-01-04;0;0;79;1;7;False
2023-01-05;0;0;75;0;5;False
2023-01-06;0;0;76;1;5;False
2023-01-07;0;0;89;1;4;False
2023-01-08;1;0;95;0;6;False
2023-01-09;0;0;78;0;4;False
2023-01-10;0;0;80;2;6;False
2023-01-11;0;0;76;0;7;False
2023-01-12;0;0;83;0;5;False
2023-01-13;0;0;78;0;4;False
2023-01-14;0;0;85;1;4;False
2023-01-15;0;0;97;0;5;False
2023-01-16;1;0;77;0;5;False
2023-01-17;0;0;74;0;4;False
2023-01-18;0;0;83;0;6;False
2023-01-19;0;0;76;0;5;False
2023-01-20;0;0;74;1;4;False
2023-01-21;0;0;89;0;5;False
2023-01-22;0;0;93;0;5;False
2023-01-23;0;0;82;0;5;False
2023-01-24;1;0;84;1;4;False
2023-01-25;0;0;78;1;6;False
2023-01-26;0;0;75;0;5;False
2023-01-27;0;0;72;0;3;False
2023-01-28;0;0;94;1;5;False
2023-01-29;0;1;100;1;4;False
2023-01-30;1;0;91;0;7;False
2023-01-31;0;0;79;0;6;False
