date;Lancashire;UK news;The Rolling Stones;west midlands;air travel;isPartial
2023-01-01;35;95;1;13;2;False
2023-01-02;32;97;1;18;3;False
2023-01-03;29;96;1;17;2;False
2023-01-04;27;94;1;17;3;False
2023-01-05;25;94;2;14;2;False
2023-01-06;24;91;2;12;2;False
2023-01-07;22;82;2;11;2;False
2023-01-08;33;92;1;12;3;False
2023-01-09;33;100;1;13;2;False
2023-01-10;32;99;1;16;3;False
2023-01-11;27;89;0;13;3;False
2023-01-12;28;92;1;14;2;False
2023-01-13;27;88;1;14;2;False
2023-01-14;22;87;1;12;2;False
2023-01-15;34;89;1;13;2;False
2023-01-16;33;93;1;14;2;False
2023-01-17;31;95;1;13;2;False
2023-01-18;32;88;0;14;3;False
2023-01-19;29;89;1;16;2;False
2023-01-20;29;85;2;16;2;False
2023-01-21;28;86;2;14;2;False
2023-01-22;31;83;1;12;2;False
2023-01-23;30;91;1;16;2;False
2023-01-24;32;88;1;12;2;False
2023-01-25;29;89;1;15;2;False
2023-01-26;28;85;1;14;2;False
2023-01-27;28;85;1;12;2;False
2023-01-28;28;80;1;11;2;False
2023-01-29;32;85;0;12;2;False
2023-01-30;39;91;1;17;3;False
2023-01-31;41;96;1;17;3;False
