date;Hunter Biden;Singapore;Animal behaviour;Ron DeSantis;air travel;isPartial
2022-01-02;0;34;0;0;5;False
2022-01-09;0;35;1;0;6;False
2022-01-16;0;34;0;0;4;False
2022-01-23;0;36;0;0;5;False
2022-01-30;0;35;1;0;6;False
2022-02-06;0;38;1;0;6;False
2022-02-13;0;40;0;0;6;False
2022-02-20;1;43;1;0;6;False
2022-02-27;2;43;0;0;5;False
2022-03-06;2;37;1;0;5;False
2022-03-13;3;41;1;0;5;False
2022-03-20;5;47;0;1;5;False
2022-03-27;3;43;0;1;5;False
2022-04-03;3;45;0;0;5;False
2022-04-10;1;44;0;0;4;False
2022-04-17;1;43;0;1;5;False
2022-04-24;1;46;0;1;5;False
2022-05-01;1;45;1;0;5;False
2022-05-08;1;42;1;0;5;False
2022-05-15;1;43;0;0;5;False
2022-05-22;1;35;0;0;5;False
2022-05-29;1;48;0;0;5;False
2022-06-05;1;45;0;0;6;False
2022-06-12;1;47;0;1;5;False
2022-06-19;1;41;0;1;5;False
2022-06-26;0;41;0;1;5;False
2022-07-03;1;43;0;1;5;False
2022-07-10;10;49;0;0;5;False
2022-07-17;2;45;0;1;5;False
2022-07-24;1;51;0;1;5;False
2022-07-31;1;48;0;1;5;False
2022-08-07;1;49;0;1;5;False
2022-08-14;1;45;0;1;4;False
2022-08-21;1;50;0;1;4;False
2022-08-28;1;48;0;0;4;False
2022-09-04;1;45;0;0;5;False
2022-09-11;1;50;1;1;4;False
2022-09-18;1;52;0;1;4;False
2022-09-25;1;88;1;1;4;False
2022-10-02;2;100;0;0;4;False
2022-10-09;2;45;0;0;4;False
2022-10-16;1;47;1;1;3;False
2022-10-23;1;44;0;0;3;False
2022-10-30;0;51;0;1;3;False
2022-11-06;1;47;1;12;3;False
2022-11-13;1;46;1;3;3;False
2022-11-20;1;45;0;1;4;False
2022-11-27;3;43;1;1;3;False
2022-12-04;3;41;0;1;3;False
2022-12-11;1;40;0;1;3;False
2022-12-18;1;38;0;0;3;False
2022-12-25;1;43;0;0;4;False
2023-01-01;1;55;0;1;4;False
2023-01-08;0;52;0;1;4;False
2023-01-15;1;54;1;0;4;False
2023-01-22;1;50;1;0;4;False
2023-01-29;1;52;1;1;4;False
