date;Margot Robbie;James Bond;Jack Dee;Windows 11;air travel;isPartial
2022-01-02;15;100;1;46;10;False
2022-01-09;13;56;4;48;11;False
2022-01-16;11;58;2;44;8;False
2022-01-23;12;41;1;51;9;False
2022-01-30;13;38;2;50;10;False
2022-02-06;17;33;1;49;10;False
2022-02-13;9;30;1;55;10;False
2022-02-20;10;32;2;51;11;False
2022-02-27;12;30;1;46;9;False
2022-03-06;9;28;2;48;10;False
2022-03-13;9;34;1;45;10;False
2022-03-20;9;33;1;43;9;False
2022-03-27;14;30;1;43;10;False
2022-04-03;10;33;1;44;9;False
2022-04-10;18;46;2;44;8;False
2022-04-17;11;90;2;42;9;False
2022-04-24;19;51;2;40;9;False
2022-05-01;14;55;2;43;9;False
2022-05-08;8;43;2;42;10;False
2022-05-15;14;39;1;40;10;False
2022-05-22;11;37;1;41;9;False
2022-05-29;9;42;1;40;10;False
2022-06-05;11;42;1;41;11;False
2022-06-12;17;35;1;44;10;False
2022-06-19;14;37;1;41;9;False
2022-06-26;26;35;1;41;9;False
2022-07-03;15;35;0;40;10;False
2022-07-10;16;38;1;44;10;False
2022-07-17;13;39;1;41;10;False
2022-07-24;46;37;1;42;10;False
2022-07-31;17;32;1;41;9;False
2022-08-07;17;31;1;41;8;False
2022-08-14;12;40;1;39;8;False
2022-08-21;10;39;1;41;7;False
2022-08-28;10;37;2;43;8;False
2022-09-04;10;38;2;43;9;False
2022-09-11;19;42;1;47;7;False
2022-09-18;18;50;3;54;7;False
2022-09-25;14;36;2;55;7;False
2022-10-02;15;75;1;54;7;False
2022-10-09;22;42;1;52;7;False
2022-10-16;11;42;1;49;6;False
2022-10-23;11;39;1;50;6;False
2022-10-30;9;34;0;47;6;False
2022-11-06;9;36;1;50;6;False
2022-11-13;15;50;1;50;5;False
2022-11-20;12;30;1;54;7;False
2022-11-27;13;32;1;54;7;False
2022-12-04;13;27;1;45;6;False
2022-12-11;17;47;1;50;6;False
2022-12-18;18;58;1;49;5;False
2022-12-25;18;69;1;54;7;False
2023-01-01;16;96;2;57;8;False
2023-01-08;41;35;1;65;8;False
2023-01-15;33;33;1;55;7;False
2023-01-22;30;30;1;55;7;False
2023-01-29;18;32;1;60;7;False
