date;prince andrew;Planets;Independents;Prisons;air travel;isPartial
2022-01-02;70;8;0;3;3;False
2022-01-09;88;9;0;3;4;False
2022-01-16;34;9;0;3;3;False
2022-01-23;19;9;0;3;3;False
2022-01-30;13;8;0;3;4;False
2022-02-06;9;8;0;3;4;False
2022-02-13;52;7;0;3;4;False
2022-02-20;11;7;0;3;4;False
2022-02-27;6;6;0;3;3;False
2022-03-06;6;7;0;3;3;False
2022-03-13;3;7;0;3;3;False
2022-03-20;4;6;0;3;3;False
2022-03-27;9;7;0;3;4;False
2022-04-03;8;6;0;3;3;False
2022-04-10;5;6;0;3;3;False
2022-04-17;4;7;0;3;3;False
2022-04-24;5;8;0;3;3;False
2022-05-01;4;7;0;3;3;False
2022-05-08;3;7;0;3;3;False
2022-05-15;3;6;0;4;4;False
2022-05-22;4;6;0;3;3;False
2022-05-29;31;6;0;2;3;False
2022-06-05;11;6;0;2;4;False
2022-06-12;8;8;0;2;3;False
2022-06-19;4;13;0;2;3;False
2022-06-26;5;6;0;2;3;False
2022-07-03;4;9;0;2;4;False
2022-07-10;3;8;0;2;4;False
2022-07-17;7;6;0;2;3;False
2022-07-24;3;6;0;3;3;False
2022-07-31;3;6;0;2;3;False
2022-08-07;3;8;0;3;3;False
2022-08-14;2;6;0;2;3;False
2022-08-21;3;6;0;2;3;False
2022-08-28;3;6;0;2;3;False
2022-09-04;23;6;0;3;3;False
2022-09-11;100;9;0;3;3;False
2022-09-18;47;8;0;3;3;False
2022-09-25;6;9;0;4;3;False
2022-10-02;5;8;0;4;3;False
2022-10-09;3;7;0;3;2;False
2022-10-16;4;7;0;3;2;False
2022-10-23;3;7;0;3;2;False
2022-10-30;2;7;0;3;2;False
2022-11-06;5;10;0;3;2;False
2022-11-13;6;8;0;3;2;False
2022-11-20;4;15;0;2;2;False
2022-11-27;4;8;0;3;2;False
2022-12-04;3;8;0;2;2;False
2022-12-11;3;7;0;3;2;False
2022-12-18;11;6;0;2;2;False
2022-12-25;28;15;0;2;3;False
2023-01-01;7;8;0;3;3;False
2023-01-08;5;9;0;4;3;False
2023-01-15;3;9;0;4;3;False
2023-01-22;7;8;0;4;2;False
2023-01-29;4;9;0;4;3;False
