date;Aretha Franklin;idaho;Foreign, Commonwealth and Development Office;Bird flu;air travel;isPartial
2023-01-01;6;66;0;3;8;False
2023-01-02;4;55;0;5;10;False
2023-01-03;5;56;1;4;6;False
2023-01-04;3;50;0;4;9;False
2023-01-05;1;91;0;4;8;False
2023-01-06;5;100;0;5;8;False
2023-01-07;5;69;0;4;6;False
2023-01-08;3;56;0;7;9;False
2023-01-09;3;47;0;4;5;False
2023-01-10;2;39;0;5;8;False
2023-01-11;2;29;0;6;10;False
2023-01-12;3;57;1;5;8;False
2023-01-13;4;33;1;5;6;False
2023-01-14;6;30;0;4;6;False
2023-01-15;5;24;0;3;7;False
2023-01-16;2;31;0;2;7;False
2023-01-17;2;20;0;4;6;False
2023-01-18;4;16;1;2;9;False
2023-01-19;2;12;0;3;8;False
2023-01-20;4;13;0;7;6;False
2023-01-21;4;18;0;4;7;False
2023-01-22;3;14;0;4;7;False
2023-01-23;14;15;0;5;8;False
2023-01-24;30;14;0;5;6;False
2023-01-25;18;10;1;3;8;False
2023-01-26;3;10;0;3;7;False
2023-01-27;5;8;1;3;5;False
2023-01-28;4;13;1;3;7;False
2023-01-29;7;11;0;4;6;False
2023-01-30;2;8;0;4;11;False
2023-01-31;3;10;0;4;9;False
