date;abba;Food TV;Monarchy;bournemouth;air travel;isPartial
2022-01-02;5;1;1;47;2;False
2022-01-09;6;1;1;47;3;False
2022-01-16;5;1;1;42;2;False
2022-01-23;6;1;1;47;2;False
2022-01-30;6;1;1;47;3;False
2022-02-06;5;1;1;59;3;False
2022-02-13;6;1;1;58;3;False
2022-02-20;6;1;1;50;3;False
2022-02-27;6;1;1;46;2;False
2022-03-06;6;1;1;53;2;False
2022-03-13;5;1;1;51;2;False
2022-03-20;5;1;1;52;2;False
2022-03-27;5;1;1;46;2;False
2022-04-03;5;1;1;53;2;False
2022-04-10;5;1;1;54;2;False
2022-04-17;5;1;1;53;2;False
2022-04-24;6;1;1;55;2;False
2022-05-01;7;1;1;71;2;False
2022-05-08;9;1;1;53;2;False
2022-05-15;11;1;2;52;2;False
2022-05-22;35;1;2;53;2;False
2022-05-29;21;1;6;60;2;False
2022-06-05;14;1;3;50;3;False
2022-06-12;14;1;1;67;2;False
2022-06-19;12;1;1;53;2;False
2022-06-26;12;1;1;55;2;False
2022-07-03;11;1;1;58;2;False
2022-07-10;11;1;1;68;3;False
2022-07-17;10;1;1;69;2;False
2022-07-24;12;1;1;63;2;False
2022-07-31;11;1;1;74;2;False
2022-08-07;12;1;1;86;2;False
2022-08-14;11;1;1;81;2;False
2022-08-21;11;1;1;100;2;False
2022-08-28;11;1;1;91;2;False
2022-09-04;10;1;20;54;2;False
2022-09-11;11;1;20;56;2;False
2022-09-18;10;1;11;49;2;False
2022-09-25;11;1;3;49;2;False
2022-10-02;10;1;2;51;2;False
2022-10-09;10;1;1;50;2;False
2022-10-16;10;1;1;49;2;False
2022-10-23;10;1;1;67;1;False
2022-10-30;9;1;1;53;1;False
2022-11-06;10;1;2;56;2;False
2022-11-13;10;1;2;42;1;False
2022-11-20;9;1;1;37;2;False
2022-11-27;10;1;1;37;2;False
2022-12-04;10;1;1;36;1;False
2022-12-11;10;1;1;43;1;False
2022-12-18;11;1;1;48;1;False
2022-12-25;15;1;1;61;2;False
2023-01-01;11;1;2;76;2;False
2023-01-08;10;1;2;52;2;False
2023-01-15;11;1;2;52;2;False
2023-01-22;15;1;1;46;2;False
2023-01-29;20;1;1;48;2;False
