date;Petrol prices;A-League Men;Morocco;Fragrance;air travel;isPartial
2022-01-02;4;0;0;35;9;False
2022-01-09;5;0;0;32;10;False
2022-01-16;5;0;0;31;8;False
2022-01-23;6;0;0;32;9;False
2022-01-30;6;0;0;33;10;False
2022-02-06;6;0;0;34;10;False
2022-02-13;9;0;0;32;10;False
2022-02-20;27;0;0;30;10;False
2022-02-27;28;0;0;28;9;False
2022-03-06;100;0;0;31;9;False
2022-03-13;53;0;0;31;9;False
2022-03-20;43;0;0;34;9;False
2022-03-27;23;0;0;27;10;False
2022-04-03;21;0;0;26;9;False
2022-04-10;16;0;0;28;8;False
2022-04-17;12;0;0;27;9;False
2022-04-24;11;0;0;30;9;False
2022-05-01;11;0;0;31;9;False
2022-05-08;10;0;0;29;9;False
2022-05-15;15;0;0;31;10;False
2022-05-22;16;0;0;29;9;False
2022-05-29;22;0;0;30;9;False
2022-06-05;63;0;0;32;11;False
2022-06-12;51;0;0;32;9;False
2022-06-19;33;0;0;29;9;False
2022-06-26;33;0;0;30;9;False
2022-07-03;27;0;0;29;10;False
2022-07-10;28;0;0;31;10;False
2022-07-17;30;0;0;30;10;False
2022-07-24;35;0;0;35;9;False
2022-07-31;45;0;0;31;8;False
2022-08-07;40;0;0;33;8;False
2022-08-14;22;0;0;30;8;False
2022-08-21;19;0;0;33;7;False
2022-08-28;16;0;0;33;8;False
2022-09-04;15;0;0;32;8;False
2022-09-11;15;0;0;34;7;False
2022-09-18;15;0;0;33;7;False
2022-09-25;15;0;0;35;7;False
2022-10-02;14;0;0;38;7;False
2022-10-09;13;0;0;37;7;False
2022-10-16;13;0;0;37;6;False
2022-10-23;15;0;0;42;6;False
2022-10-30;13;0;0;43;6;False
2022-11-06;9;0;0;53;6;False
2022-11-13;10;0;0;58;5;False
2022-11-20;10;0;0;84;7;False
2022-11-27;12;0;0;66;6;False
2022-12-04;17;0;0;64;5;False
2022-12-11;16;0;0;79;6;False
2022-12-18;13;0;0;81;5;False
2022-12-25;10;0;0;54;7;False
2023-01-01;12;0;0;36;8;False
2023-01-08;12;0;0;34;7;False
2023-01-15;10;0;0;33;7;False
2023-01-22;9;0;0;31;7;False
2023-01-29;11;0;0;33;7;False
