date;Confederation of British Industry (CBI);afghanistan;SSE;Bundesliga;air travel;isPartial
2022-01-02;0;11;35;13;6;False
2022-01-09;0;12;39;14;7;False
2022-01-16;0;16;35;13;5;False
2022-01-23;0;16;45;9;6;False
2022-01-30;0;14;53;8;6;False
2022-02-06;0;13;42;15;6;False
2022-02-13;0;11;47;15;6;False
2022-02-20;0;21;47;16;7;False
2022-02-27;0;23;50;13;6;False
2022-03-06;0;16;46;13;6;False
2022-03-13;0;14;43;17;6;False
2022-03-20;0;13;43;10;6;False
2022-03-27;0;11;100;11;6;False
2022-04-03;0;10;55;15;6;False
2022-04-10;0;10;39;19;5;False
2022-04-17;0;11;35;20;5;False
2022-04-24;0;11;37;19;6;False
2022-05-01;0;13;37;22;6;False
2022-05-08;0;12;36;22;6;False
2022-05-15;0;11;40;22;6;False
2022-05-22;0;13;40;12;6;False
2022-05-29;0;10;34;7;6;False
2022-06-05;0;13;42;5;7;False
2022-06-12;0;12;37;6;6;False
2022-06-19;0;19;34;5;5;False
2022-06-26;0;10;43;4;6;False
2022-07-03;0;9;35;4;6;False
2022-07-10;0;11;34;5;6;False
2022-07-17;0;9;30;6;6;False
2022-07-24;0;9;36;5;6;False
2022-07-31;0;10;35;11;5;False
2022-08-07;0;15;36;12;5;False
2022-08-14;0;15;33;12;5;False
2022-08-21;0;14;45;14;5;False
2022-08-28;0;20;43;15;5;False
2022-09-04;0;48;50;17;5;False
2022-09-11;0;11;42;17;5;False
2022-09-18;0;11;38;11;4;False
2022-09-25;0;9;70;10;5;False
2022-10-02;0;9;73;18;4;False
2022-10-09;0;10;48;17;4;False
2022-10-16;0;35;47;18;4;False
2022-10-23;0;16;49;15;4;False
2022-10-30;0;20;53;15;4;False
2022-11-06;0;10;53;18;4;False
2022-11-13;0;10;42;7;3;False
2022-11-20;0;13;42;3;4;False
2022-11-27;0;17;44;3;4;False
2022-12-04;0;9;42;3;3;False
2022-12-11;0;10;46;3;4;False
2022-12-18;0;12;34;4;3;False
2022-12-25;0;12;26;6;4;False
2023-01-01;0;12;38;7;5;False
2023-01-08;0;13;29;7;5;False
2023-01-15;0;12;40;13;5;False
2023-01-22;0;11;39;20;4;False
2023-01-29;0;10;42;16;5;False
