date;Africa Cup of Nations 2022;Biz Stone;Savings;Sexual violence;air travel;isPartial
2022-01-02;1;0;30;0;3;False
2022-01-09;2;0;25;0;4;False
2022-01-16;1;0;27;0;3;False
2022-01-23;1;0;28;0;3;False
2022-01-30;1;0;35;1;3;False
2022-02-06;1;0;28;0;3;False
2022-02-13;0;0;26;0;3;False
2022-02-20;0;0;26;0;3;False
2022-02-27;0;0;28;0;3;False
2022-03-06;0;0;33;1;3;False
2022-03-13;0;0;42;0;3;False
2022-03-20;0;0;39;0;3;False
2022-03-27;0;0;40;0;3;False
2022-04-03;0;0;33;0;3;False
2022-04-10;0;0;25;0;3;False
2022-04-17;0;0;35;0;3;False
2022-04-24;0;0;33;0;3;False
2022-05-01;0;0;35;0;3;False
2022-05-08;0;0;31;0;3;False
2022-05-15;0;0;31;0;3;False
2022-05-22;0;0;28;0;3;False
2022-05-29;0;0;24;0;3;False
2022-06-05;0;0;31;0;3;False
2022-06-12;0;0;37;0;3;False
2022-06-19;0;0;33;0;3;False
2022-06-26;0;0;32;0;3;False
2022-07-03;0;0;29;0;3;False
2022-07-10;0;0;26;0;3;False
2022-07-17;0;0;31;0;3;False
2022-07-24;0;0;31;0;3;False
2022-07-31;0;0;41;0;3;False
2022-08-07;0;0;37;0;3;False
2022-08-14;0;0;33;0;3;False
2022-08-21;0;0;38;0;2;False
2022-08-28;0;0;36;0;3;False
2022-09-04;0;0;34;0;3;False
2022-09-11;0;0;33;0;2;False
2022-09-18;0;0;45;0;2;False
2022-09-25;0;0;63;0;2;False
2022-10-02;0;0;60;0;2;False
2022-10-09;0;0;70;0;2;False
2022-10-16;0;0;63;0;2;False
2022-10-23;0;0;61;0;2;False
2022-10-30;0;0;100;0;2;False
2022-11-06;0;0;72;0;2;False
2022-11-13;0;0;58;0;2;False
2022-11-20;0;0;46;0;2;False
2022-11-27;0;0;47;0;2;False
2022-12-04;0;0;36;0;2;False
2022-12-11;0;0;43;0;2;False
2022-12-18;0;0;39;0;2;False
2022-12-25;0;0;39;0;2;False
2023-01-01;0;0;53;0;3;False
2023-01-08;0;0;44;0;2;False
2023-01-15;0;0;44;0;2;False
2023-01-22;0;0;53;0;2;False
2023-01-29;0;0;62;0;2;False
