date;Rafael Nadal;Fay Weldon;Freedom of information;Pacific islands;air travel;isPartial
2022-01-02;7;0;2;1;7;False
2022-01-09;5;0;3;2;8;False
2022-01-16;13;0;4;3;6;False
2022-01-23;24;0;4;1;7;False
2022-01-30;53;0;3;1;8;False
2022-02-06;4;0;3;1;8;False
2022-02-13;3;0;3;0;8;False
2022-02-20;9;0;3;1;8;False
2022-02-27;6;0;2;1;7;False
2022-03-06;4;0;3;3;7;False
2022-03-13;16;0;3;1;7;False
2022-03-20;12;0;3;2;7;False
2022-03-27;3;0;3;3;7;False
2022-04-03;2;0;3;2;7;False
2022-04-10;2;0;2;1;6;False
2022-04-17;2;0;2;1;6;False
2022-04-24;3;0;3;2;7;False
2022-05-01;10;0;3;1;7;False
2022-05-08;7;0;3;1;7;False
2022-05-15;4;0;3;1;7;False
2022-05-22;13;0;3;2;7;False
2022-05-29;36;0;2;1;7;False
2022-06-05;25;0;2;1;8;False
2022-06-12;7;0;3;1;7;False
2022-06-19;6;0;3;1;6;False
2022-06-26;61;0;2;2;7;False
2022-07-03;100;0;2;1;7;False
2022-07-10;9;0;2;1;8;False
2022-07-17;4;0;2;1;7;False
2022-07-24;2;0;2;1;7;False
2022-07-31;3;0;2;1;6;False
2022-08-07;2;0;2;1;6;False
2022-08-14;7;0;2;1;6;False
2022-08-21;4;0;2;2;5;False
2022-08-28;13;0;2;1;6;False
2022-09-04;15;0;3;1;6;False
2022-09-11;4;0;3;1;5;False
2022-09-18;9;0;2;2;5;False
2022-09-25;6;0;3;1;5;False
2022-10-02;3;0;3;1;5;False
2022-10-09;6;0;3;1;5;False
2022-10-16;3;0;3;0;5;False
2022-10-23;3;0;2;1;4;False
2022-10-30;6;0;2;2;4;False
2022-11-06;4;0;3;1;5;False
2022-11-13;7;0;3;1;4;False
2022-11-20;2;0;2;1;5;False
2022-11-27;1;0;2;1;5;False
2022-12-04;1;0;2;1;4;False
2022-12-11;1;0;2;1;4;False
2022-12-18;1;0;2;1;4;False
2022-12-25;2;0;1;1;5;False
2023-01-01;7;11;2;1;6;False
2023-01-08;3;1;2;1;6;False
2023-01-15;12;0;3;1;5;False
2023-01-22;3;0;3;1;5;False
2023-01-29;5;0;3;1;5;False
