date;Marathon;Disney+;Leasehold;General election 2019;air travel;isPartial
2022-01-02;14;78;2;0;2;False
2022-01-09;12;72;2;0;2;False
2022-01-16;12;70;2;0;2;False
2022-01-23;12;76;2;0;2;False
2022-01-30;12;80;2;0;2;False
2022-02-06;11;78;2;0;2;False
2022-02-13;12;75;2;0;2;False
2022-02-20;14;74;2;0;2;False
2022-02-27;15;69;2;0;2;False
2022-03-06;18;72;2;0;2;False
2022-03-13;19;75;2;0;2;False
2022-03-20;21;67;2;0;2;False
2022-03-27;25;75;2;0;2;False
2022-04-03;30;77;2;0;2;False
2022-04-10;21;84;2;0;1;False
2022-04-17;17;75;2;0;2;False
2022-04-24;17;65;2;0;2;False
2022-05-01;19;76;2;0;2;False
2022-05-08;15;71;2;0;2;False
2022-05-15;15;68;2;0;2;False
2022-05-22;18;73;2;0;2;False
2022-05-29;17;81;1;0;2;False
2022-06-05;11;74;2;0;2;False
2022-06-12;12;67;2;0;2;False
2022-06-19;11;68;2;0;2;False
2022-06-26;10;67;2;0;2;False
2022-07-03;9;68;2;0;2;False
2022-07-10;9;65;2;0;2;False
2022-07-17;12;77;2;0;2;False
2022-07-24;19;74;2;0;2;False
2022-07-31;11;78;2;0;2;False
2022-08-07;11;73;2;0;2;False
2022-08-14;12;77;2;0;2;False
2022-08-21;12;75;2;0;1;False
2022-08-28;16;76;2;0;1;False
2022-09-04;20;83;2;0;2;False
2022-09-11;21;100;2;0;1;False
2022-09-18;26;92;2;0;1;False
2022-09-25;61;91;1;0;1;False
2022-10-02;99;88;1;0;1;False
2022-10-09;26;83;2;0;1;False
2022-10-16;21;81;1;1;1;False
2022-10-23;24;79;1;0;1;False
2022-10-30;14;81;1;0;1;False
2022-11-06;15;81;1;0;1;False
2022-11-13;13;82;1;0;1;False
2022-11-20;10;80;1;0;1;False
2022-11-27;9;76;1;0;1;False
2022-12-04;8;69;1;0;1;False
2022-12-11;7;79;1;0;1;False
2022-12-18;8;82;1;0;1;False
2022-12-25;12;94;1;0;1;False
2023-01-01;18;83;1;0;2;False
2023-01-08;15;72;2;0;1;False
2023-01-15;15;71;2;0;1;False
2023-01-22;15;77;2;0;1;False
2023-01-29;16;74;3;0;1;False
