date;Los Angeles;Rohingya;ian king business podcast;Regulators;air travel;isPartial
2022-01-02;98;1;0;3;27;False
2022-01-09;95;1;0;6;29;False
2022-01-16;90;1;0;4;23;False
2022-01-23;95;1;0;5;25;False
2022-01-30;93;1;0;4;29;False
2022-02-06;85;1;0;5;29;False
2022-02-13;94;1;0;5;29;False
2022-02-20;84;1;0;4;29;False
2022-02-27;76;2;0;5;26;False
2022-03-06;81;2;0;5;27;False
2022-03-13;86;1;0;5;27;False
2022-03-20;93;1;0;6;26;False
2022-03-27;96;1;0;5;28;False
2022-04-03;86;1;0;4;25;False
2022-04-10;88;1;0;4;22;False
2022-04-17;84;1;0;3;24;False
2022-04-24;87;2;0;4;25;False
2022-05-01;95;0;0;4;26;False
2022-05-08;85;2;0;6;27;False
2022-05-15;94;1;0;5;28;False
2022-05-22;82;1;0;4;26;False
2022-05-29;85;0;0;4;27;False
2022-06-05;87;1;0;4;30;False
2022-06-12;86;1;0;4;26;False
2022-06-19;89;0;0;4;24;False
2022-06-26;91;1;0;4;26;False
2022-07-03;87;0;0;4;27;False
2022-07-10;90;1;0;4;28;False
2022-07-17;90;0;0;4;27;False
2022-07-24;94;1;0;3;27;False
2022-07-31;88;1;0;3;24;False
2022-08-07;96;1;0;4;23;False
2022-08-14;88;0;0;4;23;False
2022-08-21;85;3;0;4;20;False
2022-08-28;88;1;0;4;22;False
2022-09-04;88;1;0;4;24;False
2022-09-11;87;1;0;3;21;False
2022-09-18;81;1;0;4;20;False
2022-09-25;86;2;0;4;20;False
2022-10-02;84;2;0;4;20;False
2022-10-09;81;1;0;4;19;False
2022-10-16;82;2;0;5;17;False
2022-10-23;81;1;0;4;16;False
2022-10-30;83;1;0;5;16;False
2022-11-06;84;1;0;5;18;False
2022-11-13;75;1;0;5;15;False
2022-11-20;68;1;0;4;19;False
2022-11-27;73;1;0;5;18;False
2022-12-04;71;1;0;5;15;False
2022-12-11;74;1;0;4;16;False
2022-12-18;88;1;0;4;15;False
2022-12-25;83;2;0;3;20;False
2023-01-01;90;1;0;4;23;False
2023-01-08;96;2;0;4;21;False
2023-01-15;93;1;0;5;21;False
2023-01-22;95;1;0;5;19;False
2023-01-29;100;1;0;4;21;False
