date;Geography;surrey;Rural Australia;Horror films;air travel;isPartial
2023-01-01;16;67;0;6;5;False
2023-01-02;24;71;0;5;6;False
2023-01-03;29;86;0;3;4;False
2023-01-04;34;81;0;3;6;False
2023-01-05;38;74;0;4;5;False
2023-01-06;30;72;0;4;5;False
2023-01-07;21;67;0;6;4;False
2023-01-08;35;71;0;3;6;False
2023-01-09;39;81;0;3;3;False
2023-01-10;39;81;0;3;5;False
2023-01-11;40;82;1;2;6;False
2023-01-12;41;86;0;3;5;False
2023-01-13;31;100;0;4;4;False
2023-01-14;23;95;0;5;4;False
2023-01-15;35;79;0;4;4;False
2023-01-16;41;86;1;4;5;False
2023-01-17;41;82;0;3;4;False
2023-01-18;42;80;0;2;5;False
2023-01-19;41;80;0;3;5;False
2023-01-20;31;77;0;4;4;False
2023-01-21;21;69;1;6;4;False
2023-01-22;30;64;1;4;5;False
2023-01-23;42;88;0;3;5;False
2023-01-24;40;83;0;2;4;False
2023-01-25;42;73;0;3;5;False
2023-01-26;35;72;0;4;5;False
2023-01-27;27;73;0;4;3;False
2023-01-28;20;65;0;5;4;False
2023-01-29;26;63;0;6;4;False
2023-01-30;40;88;0;4;7;False
2023-01-31;36;73;0;3;6;False
