date;Roderick Williams;Australian Open;US Congress;glasgow;air travel;isPartial
2022-01-02;0;3;0;79;1;False
2022-01-09;0;6;0;73;1;False
2022-01-16;0;39;0;78;1;False
2022-01-23;0;44;0;82;1;False
2022-01-30;0;22;0;89;1;False
2022-02-06;0;1;0;79;1;False
2022-02-13;0;0;0;87;1;False
2022-02-20;0;0;0;88;1;False
2022-02-27;0;0;0;83;1;False
2022-03-06;0;0;0;88;1;False
2022-03-13;0;0;0;82;1;False
2022-03-20;0;0;0;88;1;False
2022-03-27;0;0;0;77;1;False
2022-04-03;0;0;0;88;1;False
2022-04-10;0;0;0;87;1;False
2022-04-17;0;0;0;86;1;False
2022-04-24;0;0;0;84;1;False
2022-05-01;0;0;0;87;1;False
2022-05-08;0;0;0;86;1;False
2022-05-15;0;0;0;87;1;False
2022-05-22;0;0;0;88;1;False
2022-05-29;0;1;0;96;1;False
2022-06-05;0;0;0;88;1;False
2022-06-12;0;0;0;94;1;False
2022-06-19;0;0;0;87;1;False
2022-06-26;0;1;0;93;1;False
2022-07-03;0;1;0;88;1;False
2022-07-10;0;1;0;96;1;False
2022-07-17;0;0;0;96;1;False
2022-07-24;0;0;0;89;1;False
2022-07-31;0;0;0;100;1;False
2022-08-07;0;0;0;94;1;False
2022-08-14;0;0;0;87;1;False
2022-08-21;0;0;0;91;1;False
2022-08-28;0;0;0;87;1;False
2022-09-04;0;0;0;86;1;False
2022-09-11;0;0;0;92;1;False
2022-09-18;0;0;0;83;1;False
2022-09-25;0;0;0;86;1;False
2022-10-02;0;0;0;87;1;False
2022-10-09;0;0;0;88;1;False
2022-10-16;0;0;0;80;1;False
2022-10-23;0;0;0;87;1;False
2022-10-30;0;0;0;77;1;False
2022-11-06;0;0;0;88;1;False
2022-11-13;0;0;0;78;1;False
2022-11-20;0;0;0;75;1;False
2022-11-27;0;0;0;79;1;False
2022-12-04;0;0;0;80;1;False
2022-12-11;0;0;0;87;1;False
2022-12-18;0;0;0;75;1;False
2022-12-25;0;1;0;76;1;False
2023-01-01;0;1;0;76;1;False
2023-01-08;0;4;0;77;1;False
2023-01-15;0;48;0;80;1;False
2023-01-22;0;34;0;88;1;False
2023-01-29;0;7;0;86;1;False
