date;tiktok;Soft drinks;Jenny Jones;Chagos Islands;air travel;isPartial
2022-01-02;80;1;0;0;3;False
2022-01-09;81;1;0;0;3;False
2022-01-16;70;1;0;0;2;False
2022-01-23;78;1;0;0;3;False
2022-01-30;81;1;0;0;3;False
2022-02-06;79;1;1;0;3;False
2022-02-13;81;1;0;2;3;False
2022-02-20;85;1;0;0;3;False
2022-02-27;76;1;0;0;3;False
2022-03-06;82;1;0;0;3;False
2022-03-13;77;1;0;0;3;False
2022-03-20;84;1;0;0;3;False
2022-03-27;79;1;0;0;3;False
2022-04-03;81;1;0;0;3;False
2022-04-10;89;1;0;0;2;False
2022-04-17;85;1;0;0;3;False
2022-04-24;85;1;0;0;3;False
2022-05-01;87;1;0;0;3;False
2022-05-08;88;1;0;0;3;False
2022-05-15;85;1;0;0;3;False
2022-05-22;78;1;0;0;3;False
2022-05-29;92;1;0;0;3;False
2022-06-05;88;1;0;0;3;False
2022-06-12;89;1;0;0;3;False
2022-06-19;86;1;0;0;3;False
2022-06-26;81;1;0;0;3;False
2022-07-03;90;1;0;1;3;False
2022-07-10;90;1;0;0;3;False
2022-07-17;88;1;0;0;3;False
2022-07-24;100;1;0;0;3;False
2022-07-31;97;1;0;0;3;False
2022-08-07;93;1;0;0;3;False
2022-08-14;89;1;0;0;2;False
2022-08-21;78;1;0;0;2;False
2022-08-28;90;1;0;0;2;False
2022-09-04;77;1;0;0;3;False
2022-09-11;79;1;0;0;2;False
2022-09-18;77;1;0;0;2;False
2022-09-25;89;1;0;0;2;False
2022-10-02;96;1;0;0;2;False
2022-10-09;79;1;0;0;2;False
2022-10-16;80;1;0;0;2;False
2022-10-23;84;0;0;0;2;False
2022-10-30;80;1;0;0;2;False
2022-11-06;80;1;0;0;2;False
2022-11-13;83;1;0;0;2;False
2022-11-20;73;1;0;0;2;False
2022-11-27;83;1;0;0;2;False
2022-12-04;74;1;0;0;2;False
2022-12-11;85;1;0;0;2;False
2022-12-18;85;1;0;0;2;False
2022-12-25;89;0;0;0;2;False
2023-01-01;84;1;1;0;2;False
2023-01-08;82;1;0;0;2;False
2023-01-15;84;1;0;0;2;False
2023-01-22;83;1;0;0;2;False
2023-01-29;82;1;0;0;2;False
