date;John Lewis;Banco Santander;Bill Callahan;Sarah Lancashire;air travel;isPartial
2022-01-02;81;0;0;1;1;False
2022-01-09;69;0;0;0;1;False
2022-01-16;60;0;0;0;1;False
2022-01-23;59;0;0;0;1;False
2022-01-30;52;0;0;0;1;False
2022-02-06;51;0;0;0;1;False
2022-02-13;50;0;0;0;1;False
2022-02-20;51;0;0;0;1;False
2022-02-27;47;0;0;0;1;False
2022-03-06;51;0;0;0;1;False
2022-03-13;49;0;0;0;1;False
2022-03-20;50;0;0;0;1;False
2022-03-27;48;0;0;0;1;False
2022-04-03;52;0;0;0;1;False
2022-04-10;49;0;0;1;1;False
2022-04-17;49;0;0;1;1;False
2022-04-24;47;0;0;0;1;False
2022-05-01;53;0;0;1;1;False
2022-05-08;45;0;0;0;1;False
2022-05-15;47;0;0;0;1;False
2022-05-22;45;0;0;0;1;False
2022-05-29;52;0;0;0;1;False
2022-06-05;46;0;0;0;1;False
2022-06-12;49;0;0;0;1;False
2022-06-19;46;0;0;0;1;False
2022-06-26;51;0;0;0;1;False
2022-07-03;48;0;0;0;1;False
2022-07-10;53;0;0;0;1;False
2022-07-17;50;0;0;0;1;False
2022-07-24;48;0;0;0;1;False
2022-07-31;47;0;0;0;1;False
2022-08-07;50;0;0;0;1;False
2022-08-14;46;0;0;0;1;False
2022-08-21;51;0;0;0;1;False
2022-08-28;53;0;0;0;1;False
2022-09-04;51;0;0;0;1;False
2022-09-11;56;0;0;0;1;False
2022-09-18;49;0;0;0;1;False
2022-09-25;55;0;0;0;1;False
2022-10-02;56;0;0;0;1;False
2022-10-09;54;0;0;0;1;False
2022-10-16;53;0;0;0;1;False
2022-10-23;56;0;0;0;1;False
2022-10-30;62;0;0;0;1;False
2022-11-06;90;0;0;0;1;False
2022-11-13;85;0;0;0;1;False
2022-11-20;97;0;0;0;1;False
2022-11-27;82;0;0;0;1;False
2022-12-04;74;0;0;0;1;False
2022-12-11;77;0;0;0;1;False
2022-12-18;84;0;0;0;1;False
2022-12-25;100;0;0;1;1;False
2023-01-01;71;0;0;3;1;False
2023-01-08;57;0;0;4;1;False
2023-01-15;52;0;0;4;1;False
2023-01-22;48;0;0;4;1;False
2023-01-29;47;0;0;5;1;False
